Product,Page,DIMENSIONI E CARATTERISTICHE TECNICHE,nome_modello1,codici_modelli1,value-codici_modelli1,nome_modello2,codici_modelli2,value-codici_modelli2
S450H,92,Tensione di alimentazione di rete,S450H CBAC,104100,220–240 V~ 50/60 Hz,S450H SB,104101,220–240 V~ 50/60 Hz
S450H,92,Motore elettrico,S450H CBAC,104100,Con spazzole 24 V ⎓,S450H SB,104101,Con spazzole 24 V ⎓
S450H,92,Potenza max,S450H CBAC,104100,60 W,S450H SB,104101,60 W
S450H,92,Forza max di spinta,S450H CBAC,104100,> 5000 N,S450H SB,104101,> 5000 N
S450H,92,Velocità max stelo,S450H CBAC,104100,> 25 mm/sec,S450H SB,104101,> 25 mm/sec
S450H,92,Corsa dello stelo,S450H CBAC,104100,311 mm,S450H SB,104101,311 mm
S450H,92,Angolo max apertura anta,S450H CBAC,104100,110°,S450H SB,104101,110°
S450H,92,Temperatura ambiente di esercizio,S450H CBAC,104100,-20 °C ÷ +55 °C,S450H SB,104101,-20 °C ÷ +55 °C
S450H,92,Grado di protezione,S450H CBAC,104100,IP55,S450H SB,104101,IP55
S450H,92,Peso,S450H CBAC,104100,"6,5 Kg",S450H SB,104101,"6,5 Kg"
S450H,92,Frequenza di utilizzo,S450H CBAC,104100,Uso continuo,S450H SB,104101,Uso continuo
S450H,92,Larghezza max anta,S450H CBAC,104100,2 m,S450H SB,104101,3 m
S450H,92,Tipo di olio,S450H CBAC,104100,FAAC HP OIL,S450H SB,104101,FAAC HP OIL
S450H,92,Staffe di fissaggio,S450H CBAC,104100,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,S450H SB,104101,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile
S450H,92,Dimensioni (LxPxH),S450H CBAC,104100,1131 x 85 x 119 mm,S450H SB,104101,1131 x 85 x 119 mm
S450H,92,Apparecchiatura elettronica,S450H CBAC,104100,Non compresa,S450H SB,104101,Non compresa
415 230V,78,Tensione di alimentazione di rete,415,104415,220-240V~ 50/60 Hz,415 L,104417,220-240V~ 50/60 Hz
415 230V,78,Motore elettrico,415,104415,Asincrono monofase,415 L,104417,Asincrono monofase
415 230V,78,Potenza max,415,104415,300 W,415 L,104417,300 W
415 230V,78,Forza max di spinta,415,104415,3000 N (*),415 L,104417,3000 N (*)
415 230V,78,Velocità max stelo,415,104415,16 mm/s (*),415 L,104417,16 mm/s (*)
415 230V,78,Corsa dello stelo,415,104415,300 mm,415 L,104417,400 mm
415 230V,78,Angolo max apertura anta,415,104415,110°,415 L,104417,110°
415 230V,78,Temperatura ambiente di esercizio,415,104415,-20°C ÷ +55°C,415 L,104417,-20°C ÷ +55°C
415 230V,78,Termoprotezione,415,104415,140°C,415 L,104417,140°C
415 230V,78,Grado di protezione,415,104415,IP54,415 L,104417,IP54
415 230V,78,Peso,415,104415,"7,8 Kg",415 L,104417,8 Kg
415 230V,78,Frequenza di utilizzo,415,104415,S3 - 30%,415 L,104417,S3 - 30%
415 230V,78,Larghezza max anta,415,104415,"2,5 m (3 m con elettroserratura)",415 L,104417,3 m (4 m con elettroserratura)
415 230V,78,Staffe di fissaggio,415,104415,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,415 L,104417,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare
415 230V,78,Dimensioni (LxPxH),415,104415,836 x 101 x 147 mm,415 L,104417,942 x 101 x 148 mm
415 230V,78,Apparecchiatura elettronica,415,104415,Non compresa,415 L,104417,Non compresa
415 230V,78,Nota,415,104415,(*) dati riferiti a 230V~ 50Hz.,415 L,104417,(*) dati riferiti a 230V~ 50Hz.
