Product,Page,DIMENSIONI E CARATTERISTICHE TECNICHE,nome_modello1,codici_modelli1,value-codici_modelli1,nome_modello2,codici_modelli2,value-codici_modelli2
S450H,92,Tensione di alimentazione di rete,S450H CBAC,104100,220–240 V~ 50/60 Hz,S450H SB,104101,220–240 V~ 50/60 Hz
S450H,92,Motore elettrico,S450H CBAC,104100,Con spazzole 24 V ⎓,S450H SB,104101,Con spazzole 24 V ⎓
S450H,92,Potenza max,S450H CBAC,104100,60 W,S450H SB,104101,60 W
S450H,92,Forza max di spinta,S450H CBAC,104100,> 5000 N,S450H SB,104101,> 5000 N
S450H,92,Velocità max stelo,S450H CBAC,104100,> 25 mm/sec,S450H SB,104101,> 25 mm/sec
S450H,92,Corsa dello stelo,S450H CBAC,104100,311 mm,S450H SB,104101,311 mm
S450H,92,Angolo max apertura anta,S450H CBAC,104100,110°,S450H SB,104101,110°
S450H,92,Temperatura ambiente di esercizio,S450H CBAC,104100,-20 °C ÷ +55 °C,S450H SB,104101,-20 °C ÷ +55 °C
S450H,92,Grado di protezione,S450H CBAC,104100,IP55,S450H SB,104101,IP55
S450H,92,Peso,S450H CBAC,104100,"6,5 Kg",S450H SB,104101,"6,5 Kg"
S450H,92,Frequenza di utilizzo,S450H CBAC,104100,Uso continuo,S450H SB,104101,Uso continuo
S450H,92,Larghezza max anta,S450H CBAC,104100,2 m,S450H SB,104101,3 m
S450H,92,Tipo di olio,S450H CBAC,104100,FAAC HP OIL,S450H SB,104101,FAAC HP OIL
S450H,92,Staffe di fissaggio,S450H CBAC,104100,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,S450H SB,104101,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile
S450H,92,Dimensioni (LxPxH),S450H CBAC,104100,1131 x 85 x 119 mm,S450H SB,104101,1131 x 85 x 119 mm
S450H,92,Apparecchiatura elettronica,S450H CBAC,104100,Non compresa,S450H SB,104101,Non compresa
