Modello;Codice_articolo;page_start;page_end;Product_Name;Confidence
LEADER kit PERFECT 60;120013;28;28;LEADER kit;0.19
MASTER kit 230V PERFECT 60;120015;28;28;MASTER kit 230V;0.92
SAFEcoder encoder assoluto magnetico BUS (brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;28;28;MASTER kit 230V;0.04
LEADER kit PERFECT 60;120013;29;29;LEADER kit;0.19
MASTER kit 230V PERFECT 60;120015;29;29;MASTER kit 230V;0.92
SAFEcoder encoder assoluto magnetico BUS (brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;29;29;MASTER kit 230V;0.04
HANDY kit PERFECT 60;120019;30;30;HANDY kit;0.19
MASTER kit 24V PERFECT 60;120016;30;30;MASTER kit 24V;0.92
HANDY kit PERFECT 60;120019;31;31;HANDY kit;0.19
MASTER kit 24V PERFECT 60;120016;31;31;MASTER kit 24V;0.92
ECO kit PERFECT 60;120014;32;32;ECO kit;0.17
HIGH kit PERFECT 60;120020;32;32;HIGH kit;0.18
SAFEcoder per attuatore 412 (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404041;32;32;ECO kit;0.03
ECO kit PERFECT 60;120014;33;33;ECO kit;0.17
HIGH kit PERFECT 60;120020;33;33;HIGH kit;0.18
SAFEcoder per attuatore 412 (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404041;33;33;ECO kit;0.03
Cassetta portante con sistema di sblocco;490065;34;34;POWER kit 24V;0.06
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;34;34;POWER kit 24V;0.06
POWER 230V kit PERFECT 60;120017;34;34;POWER kit 230V;0.85
POWER 24V kit PERFECT 60;120018;34;34;POWER kit 24V;0.86
Cassetta portante con sistema di sblocco;490065;35;35;POWER kit 24V;0.06
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;35;35;POWER kit 24V;0.06
POWER 230V kit PERFECT 60;120017;35;35;POWER kit 230V;0.85
POWER 24V kit PERFECT 60;120018;35;35;POWER kit 24V;0.86
DELTA 2 kit PERFECT 60;120009;36;36;DELTA 2 kit;0.2
PRATICO C kit PERFECT 60;120011;36;36;PRATICO C kit;0.21
DELTA 2 kit PERFECT 60;120009;37;37;DELTA 2 kit;0.2
PRATICO C kit PERFECT 60;120011;37;37;PRATICO C kit;0.21
DELTA 3 kit PERFECT 60;120010;38;38;DELTA 3 kit;0.2
RAPID kit PERFECT 60;120012;38;38;RAPID kit;0.19
DELTA 3 kit PERFECT 60;120010;39;40;DELTA 3 kit;0.2
RAPID kit PERFECT 60;120012;39;40;RAPID kit;0.19
HYBRID kit 24V SAFE;105683;42;42;HYBRID kit;0.21
SAFE&GREEN Retrofit kit E145S;390113;42;42;"SAFE&amp;GREEN Retrofit kit";0.25
HYBRID kit 24V SAFE;105683;43;43;HYBRID kit;0.21
SAFE&GREEN Retrofit kit E145S;390113;43;43;"SAFE&amp;GREEN Retrofit kit";0.25
Leader kit 230V;105633445;44;44;TRENDY 230V kit;0.84
SAFEcoder encoder assoluto magnetico BUS ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404040;44;44;TRENDY 230V kit;0.04
Trendy kit 230V;104419445;44;44;TRENDY 230V kit;0.92
Leader kit 230V;105633445;45;45;TRENDY 230V kit;0.84
SAFEcoder encoder assoluto magnetico BUS ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404040;45;45;TRENDY 230V kit;0.04
Trendy kit 230V;104419445;45;45;TRENDY 230V kit;0.92
MASTER kit 230V;104415445;46;46;MASTER 230V kit;0.92
MASTER kit 24V SAFE;104415144;46;46;MASTER 24V kit;0.9
SAFEcoder encoder assoluto magnetico BUS (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;46;46;MASTER 24V kit;0.05
MASTER kit 230V;104415445;47;47;MASTER 230V kit;0.92
MASTER kit 24V SAFE;104415144;47;47;MASTER 24V kit;0.9
SAFEcoder encoder assoluto magnetico BUS (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;47;47;MASTER 24V kit;0.05
ECO kit 230V;105632445;48;48;ECO kit;0.22
HANDY kit 24V SAFE;105998;48;48;HANDY kit;0.2
SAFEcoder per attuatore 412 ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404041;48;48;ECO kit;0.03
ECO kit 230V;105632445;49;49;ECO kit;0.22
HANDY kit 24V SAFE;105998;49;49;HANDY kit;0.2
SAFEcoder per attuatore 412 ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404041;49;49;ECO kit;0.03
COVER S2500I NEUTRO;416251;50;50;ENERGY kit;0.1
COVER S2500I RAL 7021;416250;50;50;ENERGY kit;0.08
ENERGY kit 24V SAFE;104575;50;50;ENERGY kit;0.21
GRUPPO CERNIERA S2500I;490250;50;50;HIGH KIT;0.06
KIT OPERATORE INTEGRATO S2500I;104250445;50;50;HIGH KIT;0.05
COVER S2500I NEUTRO;416251;51;51;ENERGY kit;0.1
COVER S2500I RAL 7021;416250;51;51;ENERGY kit;0.08
ENERGY kit 24V SAFE;104575;51;51;ENERGY kit;0.21
GRUPPO CERNIERA S2500I;490250;51;51;HIGH KIT;0.06
KIT OPERATORE INTEGRATO S2500I;104250445;51;51;HIGH KIT;0.05
Cassetta portante con sistema di sblocco;490065;52;52;POWER kit 24V;0.06
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;52;52;POWER kit 24V;0.06
POWER kit 230V;106746445;52;52;POWER 230V kit;0.91
POWER kit 24V SAFE;106747445;52;52;POWER kit 24V;0.95
Cassetta portante con sistema di sblocco;490065;53;53;POWER kit 24V;0.06
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;53;53;POWER kit 24V;0.06
POWER kit 230V;106746445;53;53;POWER 230V kit;0.91
POWER kit 24V SAFE;106747445;53;53;POWER kit 24V;0.95
DELTA 2 kit 230V SAFE;1056303445;54;54;DELTA 2 kit;0.21
PRATICO C kit 230V SAFE;105940;54;54;PRATICO C kit;0.22
DELTA 2 kit 230V SAFE;1056303445;55;55;DELTA 2 kit;0.21
PRATICO C kit 230V SAFE;105940;55;55;PRATICO C kit;0.22
DELTA 3 kit 230V SAFE;105630445;56;56;DELTA 3 kit;0.21
RAPID kit 24V SAFE&GREEN;1059995;56;56;RAPID kit;0.16
RAPID kit 800 Kg - 24V SAFE&GREEN;105083;56;56;RAPID kit;0.13
DELTA 3 kit 230V SAFE;105630445;57;57;DELTA 3 kit;0.21
RAPID kit 24V SAFE&GREEN;1059995;57;57;RAPID kit;0.16
RAPID kit 800 Kg - 24V SAFE&GREEN;105083;57;57;RAPID kit;0.13
DOLPHIN D600 kit 24V SAFE;10566544;58;58;DOLPHIN kit;0.18
SOLID kit 230V SAFE;10561644;58;58;SOLID kit;0.19
DOLPHIN D600 kit 24V SAFE;10566544;59;59;DOLPHIN kit;0.18
SOLID kit 230V SAFE;10561644;59;59;SOLID kit;0.19
ROTOR KIT;109940;60;61;Rotor Kit;1
TM2K KIT MINI 25/17;143201;62;63;TM2K KIT MINI;1
TM2K KIT MINI 30/17;143202;62;63;TM2K KIT MINI;1
TM2K KIT MINI 50/12;143203;62;63;TM2K KIT MINI;1
S418 24V;104301;72;73;S418;1
412 dx;104470;74;75;412;1
412 sx;104471;74;75;412;1
413 230V;104413;76;77;413 230V;1
415;104415;78;79;415 230V;1
415 L;104417;78;79;415 230V;1
415 24V;1044151;80;81;415 24V;1
415 L 24V;1044171;80;81;415 24V;1
390 230V;104570;82;83;390 230V;1
392;104584;84;85;392 C;1
392 C;104583;84;85;392 C;1
402 CBC;104468;86;87;402;1
402 SBS;104474;86;87;402;1
422 CBAC;104200;88;89;422;1
422 SBS;104210;88;89;422;1
400 CBAC;104201;90;91;400;1
400 CBAC L;104202;90;91;400;1
400 CBC;104205;90;91;400;1
400 SB;104206;90;91;400;1
400 SBS;104203;90;91;400;1
400 SBS L;104220;90;91;400;1
S450H CBAC;104100;92;94;S450H;1
S450H SB;104101;92;94;S450H;1
S2500I 24V;104250;96;97;S2500I;1
770N 230V;10675201;98;99;770N 230V;1
770N 24V;10675301;100;101;770N 24V;1
S800H ENC CBAC 100°;108720;102;103;S800H ENC;1
S800H ENC CBAC 180°;108722;102;103;S800H ENC;1
S800H ENC SBW 100°;108724;102;103;S800H ENC;1
S800H ENC SBW 180°;108725;102;103;S800H ENC;1
S800 ENC CBAC 100°;108800;104;106;S800 ENC;1
S800 ENC CBAC 180°;108801;104;106;S800 ENC;1
S800 ENC SBW 100°;108802;104;106;S800 ENC;1
S800 ENC SBW 180°;108803;104;106;S800 ENC;1
C4000I;109001;108;109;C4000I;1
C720 24V;109320;110;111;C720;1
C721 24V;109321;112;113;C721;1
740 E Z16 con encoder;1097805;114;115;740;1
740 C con encoder;109600;116;117;740 C;1
741 E Z16 con encoder;1097815;118;119;741;1
741 C con encoder;109602;120;121;741 C;1
746 C Z16;109745;122;123;746 C;1
746 C Z20;109746;122;123;746 C;1
844;109926;124;125;844 C;1
844 C Z16;109925;124;125;844 C;1
844 C 3PH;109928;126;127;844 3PH;1
844 R 3PH;109904;126;127;844 3PH;1
884 MC 3PH;109885;128;129;884 MC 3PH;1
C851;109903;130;132;C851;1
D600;110600;134;135;D600;1
Due pezzi a cinghia;390226;134;135;D600;1
Due pezzi a cinghia;390232;134;135;D600;1
Due pezzi a cinghia;390239;134;135;D600;1
Unico a cinghia;390120;134;135;D600;1
Unico a cinghia;390126;134;135;D600;1
Unico a cinghia;390132;134;135;D600;1
Unico a cinghia;390139;134;135;D600;1
D700 HS;110602;136;137;D700 HS;1
Due pezzi a cinghia;390226;136;137;D700 HS;1
Due pezzi a cinghia;390232;136;137;D700 HS;1
Due pezzi a cinghia;390239;136;137;D700 HS;1
Unico a cinghia;390120;136;137;D700 HS;1
Unico a cinghia;390126;136;137;D700 HS;1
Unico a cinghia;390132;136;137;D700 HS;1
Unico a cinghia;390139;136;137;D700 HS;1
D1000;110601;138;139;D1000;1
Due pezzi a cinghia;390226;138;139;D1000;1
Due pezzi a cinghia;390232;138;139;D1000;1
Due pezzi a cinghia;390239;138;139;D1000;1
Unico a cinghia;390120;138;139;D1000;1
Unico a cinghia;390126;138;139;D1000;1
Unico a cinghia;390132;138;139;D1000;1
Unico a cinghia;390139;138;139;D1000;1
550 ITT;110549;148;149;550;1
550 L ITT;110562;148;149;550;1
550 L Slave;110558;148;149;550;1
550 Slave;110553;148;149;550;1
580 CBAC;104501;150;152;580 593;0.51
580 SB;104502;150;152;580 593;0.53
593;110597;150;152;580 593;0.53
390 230V;104570;154;155;390 230V;1
560 CBAC;104561;156;157;560;1
560 SB;104562;156;157;560;1
2.000 *;428046;160;163;B614;1
2.3;428045;160;163;B614;1
2.315;428088;160;163;B614;1
2.815;428089;160;163;B614;1
3.3;428042;160;163;B614;1
3.815;428090;160;163;B614;1
4.300 *;428043;160;163;B614;1
4.815;428091;160;163;B614;1
5;428002;160;163;B614;1
B614 Grigio RAL 9006;1046143;160;163;B614;1
B614 Rosso RAL 3020;104614;160;163;B614;1
Giunto *;428615;160;163;B614;1
2.000 *;428046;164;167;615BPR;1
2.3;428045;164;167;615BPR;1
2.315;428088;164;167;615BPR;1
2.815;428089;164;167;615BPR;1
3.3;428042;164;167;615BPR;1
3.815;428090;164;167;615BPR;1
4.300 *;428043;164;167;615BPR;1
4.815;428091;164;167;615BPR;1
5,5;721008;164;167;615BPR;1
5;428002;164;167;615BPR;1
6,0;721005;164;167;615BPR;1
615BPR Standard Arancio RAL 2004;104906;164;167;615BPR;1
615BPR Standard Grigio RAL 9006;104910;164;167;615BPR;1
7,0;721006;164;167;615BPR;1
7,5;721007;164;167;615BPR;1
8,0;721018;164;167;615BPR;1
Giunto *;428615;164;167;615BPR;1
2.000 *;428046;168;171;620 Standard;1
2.3;428045;168;171;620 Standard;1
2.315;428088;168;171;620 Standard;1
2.815;428089;168;171;620 Standard;1
3;428176;168;171;620 Standard;1
3.3;428042;168;171;620 Standard;1
3.815;428090;168;171;620 Standard;1
4.300 *;428043;168;171;620 Standard;1
4.815;428091;168;171;620 Standard;1
5;428002;168;171;620 Standard;1
Giunto *;428615;168;171;620 Standard;1
2.3;428045;172;175;620 Rapida;1
2.315;428088;172;175;620 Rapida;1
2.815;428089;172;175;620 Rapida;1
3;428176;172;175;620 Rapida;1
3.3;428042;172;175;620 Rapida;1
