Note_Antonella,IDML,Categoria,Prodotto,Pagina,Pagina_fine,SKU_presenti_nel_prodotto,Num_prodotti_per_categoria,Num_SKU_per_prodotto,Num_SKU_per_categoria
,0,PERFECT KIT,,27,27,,12,0,40
,,PERFECT KIT,LEADER kit PERFECT 60,28,28,104468; 120013; 404040; 410029; 720119; 785103; 787017; 787025; 790077,12,9,40
,,PERFECT KIT,MASTER kit 230V PERFECT 60,29,29,104415; 120015; 404040; 410029; 720119; 785103; 787017; 787025; 790077,12,9,40
,,PERFECT KIT,MASTER kit 24V PERFECT 60,30,30,102011; 120016; 410029; 785103; 787017; 787025; 1044151,12,7,40
,,PERFECT KIT,HANDY kit PERFECT 60,31,31,102011; 104301; 120019; 410029; 785103; 787017; 787025,12,7,40
,,PERFECT KIT,ECO kit PERFECT 60,32,32,104470; 104471; 120014; 404041; 410029; 720119; 785103; 787017; 787025; 790077,12,10,40
,,PERFECT KIT,HIGH kit PERFECT 60,33,33,102011; 104250; 120020; 416250; 416251; 490250; 785103; 787017; 787025,12,9,40
,,PERFECT KIT,POWER kit 230V PERFECT 60,34,34,120017; 404035; 410029; 490065; 720119; 785103; 787017; 787025; 790077; 10675201,12,10,40
,,PERFECT KIT,POWER kit 24V PERFECT 60,35,35,102011; 120018; 410029; 490065; 785103; 787017; 787025; 10675201,12,8,40
,,PERFECT KIT,PRATICO C kit PERFECT 60,36,36,109745; 120011; 410029; 737816; 785103; 787017; 787025,12,7,40
,,PERFECT KIT,DELTA 2 kit PERFECT 60,37,37,109600; 120009; 410029; 787017; 787025,12,5,40
,,PERFECT KIT,DELTA 3 kit PERFECT 60,38,38,109702; 120010; 410029; 785102; 787017; 787025,12,6,40
,,PERFECT KIT,RAPID kit PERFECT 60,39,39,109320; 120012; 410029; 785103; 787017; 787025,12,6,40
,0,CLASSIC KIT,,41,41,,19,0,68
,,CLASSIC KIT,SAFE&GREEN Retrofit kit,42,42,390113; 404040; 790076,19,3,68
,,CLASSIC KIT,HYBRID kit,43,43,104100; 105683; 401304; 410029; 785103; 787007; 787831; 790284; 71275101,19,9,68
,,CLASSIC KIT,LEADER kit,44,44,104468; 401304; 404040; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 105633445,19,11,68
,,CLASSIC KIT,TRENDY kit 230V,45,45,104413; 401304; 404040; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 104419445,19,11,68
,,CLASSIC KIT,MASTER kit 230V,46,46,104415; 401304; 404040; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 104415445,19,11,68
,,CLASSIC KIT,MASTER kit 24V,47,47,102011; 401304; 410029; 785103; 787007; 787831; 1044151; 71275101; 104415144,19,9,68
,,CLASSIC KIT,HANDY kit,48,48,102011; 104301; 105998; 401304; 410029; 785103; 787007; 787831; 71275101,19,9,68
,,CLASSIC KIT,ECO kit,49,49,104470; 104471; 401304; 404041; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 105632445,19,12,68
,,CLASSIC KIT,ENERGY kit,50,50,104575; 104583; 104584; 401304; 410029; 785103; 787007; 787831; 71275101,19,9,68
,,CLASSIC KIT,HIGH KIT,51,51,102011; 104250; 401304; 416250; 416251; 490250; 785103; 787007; 787831; 71275101; 104250445,19,11,68
,,CLASSIC KIT,POWER kit 230V,52,52,401304; 404035; 410029; 490065; 720119; 785103; 787007; 787831; 790077; 10675201; 71275101; 106746445,19,12,68
,,CLASSIC KIT,POWER kit 24V,53,53,102011; 401304; 410029; 490065; 785103; 787007; 787831; 10675301; 71275101; 106747445,19,10,68
,,CLASSIC KIT,PRATICO C kit,54,54,105940; 109745; 401304; 410029; 737816; 785103; 787007; 787831; 71275101,19,9,68
,,CLASSIC KIT,DELTA 2 kit,55,55,401302; 410029; 785102; 787007; 787852; 1097805; 71275101; 1056303445,19,8,68
,,CLASSIC KIT,DELTA 3 kit,56,56,401302; 410029; 785102; 787007; 787852; 1097815; 71275101; 105630445,19,8,68
,,CLASSIC KIT,RAPID kit,57,57,105083; 109320; 109321; 401304; 410029; 785103; 787007; 787831; 1059995; 71275101,19,10,68
,,CLASSIC KIT,SOLID kit,58,58,110549; 787007; 787852; 10561644; 424550001,19,5,68
