Codice,Pagine,eliminato?
102011,"30, 31, 33, 35, 47, 48, 51, 53, 73, 81, 85, 97, 101, 188",
102845,"201, 203, 204, 205, 206, 207, 209, 211","VERIFICARE (anche pag [201, 203, 204])"
103054,213,SI
103337,213,SI
104100,"43, 93",
104101,93,
104110,67,
104200,89,
104201,91,
104202,91,
104203,91,
104205,91,
104206,91,
104210,89,
104220,91,
104250,"33, 51, 97",
104301,"31, 48, 73",
104413,"45, 77",
104415,"29, 46, 79",
104417,79,
104468,"28, 44, 87",
104470,"32, 49, 75",
104471,"32, 49, 75",
104474,87,
104501,151,
104502,151,
104561,157,
104562,157,
104570,"155, 83",
104575,50,
104583,"50, 85",
104584,"50, 85",
104614,161,
104680,177,
104906,165,
104910,165,
105043,234,
105083,57,
105128,225,
105531,227,
105535,228,
105536,227,
105537,227,
105538,227,
105547,227,
105592,227,
105593,227,
105594,227,
105598,227,
105683,43,
105687,227,
105726,66,SI
105727,66,SI
105728,66,SI
105729,66,SI
105730,66,SI
105731,66,SI
105732,66,SI
105740,66,SI
105770,65,SI
105771,65,SI
105775,65,SI
105776,65,SI
105781,227,
105782,227,
105940,54,
105998,48,
108720,103,
108722,103,
108724,103,
108725,103,
108800,105,
108801,105,
108802,105,
108803,105,
109001,109,
109320,"39, 57, 111",
109321,"57, 113",
109512,141,SI
109542,143,SI
109550,145,SI
109600,"37, 117",
109602,121,
109702,38,
109745,"36, 54, 123",
109746,123,
109885,129,
109903,131,
109904,127,
109925,125,
109926,125,
109928,127,
109940,60,
109950,241,
109951,"60, 214",
109960,243,
109961,243,
109971,245,
109981,247,
110066,106,
110088,108,
110123,149,SI
110124,149,SI
110125,149,SI
110127,149,SI
110549,"58, 149",VERIFICARE (anche pag [58])
110553,149,SI
110554,149,SI
110558,149,SI
110562,149,SI
110597,151,
110600,"59, 135",
110601,139,
110602,137,
111100,110,
111122,112,
111144,114,
111188,118,
112222,122,
112266,126,
112288,128,
113300,130,
114115,93,
120002,"201, 203",
120003,"201, 203",
120009,37,
120010,38,
120011,36,
120012,39,
120013,28,
120014,32,
120015,29,
120016,30,
120017,34,
120018,35,
120019,31,
120020,33,
124125,93,
134135,93,
143201,62,
143202,62,
143203,62,
144145,93,
145405,"63, 65",VERIFICARE (anche pag [63])
145412,"63, 65",VERIFICARE (anche pag [63])
145421,"63, 65",VERIFICARE (anche pag [63])
145422,63,
145423,"63, 65",VERIFICARE (anche pag [63])
145424,63,
145504,63,
145505,63,
145630,"63, 65",VERIFICARE (anche pag [63])
154155,93,
164165,93,
202073,"127, 129, 190, 191",
202269,"115, 119, 190, 191",
202274,233,
202275,"201, 203",
390035,"103, 105",
390080,179,
390081,"166, 167",
390091,97,
390113,42,
390120,"135, 137, 139",
390126,"135, 137, 139",
390130,"73, 81, 85, 97, 101, 232",
390132,"135, 137, 139",
390139,"135, 137, 139",
390178,"109, 111, 113, 115, 117, 119, 121, 123, 125",
390184,"163, 167, 171, 175",
390205,"209, 211",SI
390211,215,
390226,"135, 137, 139",
390232,"135, 137, 139",
390239,"135, 137, 139",
390267,85,
390432,151,
390433,151,
390434,151,
390435,151,
390488,"135, 137, 139",
390548,"59, 139",
390563,"149, 151",VERIFICARE (anche pag [151])
390564,"149, 151",VERIFICARE (anche pag [151])
390592,149,SI
390594,151,
390607,149,SI
390612,"99, 101",
390682,"83, 155",
390719,"141, 143, 145",SI
390720,"141, 143, 145",SI
390721,"141, 143, 145",SI
390744,"141, 143, 145",SI
390745,"141, 143, 145",SI
390765,"135, 137, 139",
390768,"135, 137, 139",
390828,"170, 175, 177",
390923,"73, 81, 85, 93, 101, 111, 113, 135, 137, 139, 161, 179",
390926,"73, 81, 85, 93, 97, 101, 103",
390972,"103, 105",
390992,"162, 163, 171, 174, 175, 179",
390993,"162, 163, 166, 167, 171, 174, 175, 179",
391450,"241, 243, 245, 247",
391452,"240, 241, 242, 243",
391453,"241, 243",
391454,"241, 243",
391455,"245, 247",
391456,"60, 85, 97, 219, 241, 243, 245, 247",
401012,218,
401013,218,
401014,218,
401015,218,
401016,218,
401017,218,
401026,238,
401044,216,
401045,216,
401046,217,
401047,217,
401048,222,
401051,"170, 174, 179",
401057,"83, 155",
401064,"216, 217, 220, 221, 222, 226",
401065,"216, 217, 220, 221, 222, 226",
401066,"165, 170, 174",
401069,179,
401070,"224, 225, 226",
401075,"216, 217, 220, 221, 222, 224, 225, 226, 234",
401080,"216, 217, 220, 221, 222, 224, 225, 226",
401302,"55, 56, 216",
401303,216,
401304,"43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57, 217",
401305,217,
401306,222,
402500,141,SI
402501,143,SI
402502,"145, 188, 189","VERIFICARE (anche pag [188, 189])"
402504,145,SI
404015,213,SI
404035,"34, 52, 99, 101, 231",
404037,221,
404038,221,
404039,220,
404040,"28, 29, 42, 44, 45, 46, 77, 79, 87, 89, 91, 231",
404041,"32, 49, 75, 231",
410017,237,
