Name,Page,Size,Dimensions,Scale,Rotation,Path,Description
60 .pdf,1,375.4 KB (384426 bytes),,89.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\60 .pdf,
Untitled design (2).png,1,222.7 KB (228067 bytes),2652 x 3750,109.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
loghi.png,2,477.1 KB (488520 bytes),4419 x 6250,64.50%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\loghi.png,
GDS_0130 copia.jpg,2,77 KB (78872 bytes),800 x 532,180.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\GDS_0130 copia.jpg,FA 2011-04-27 AZIENDA
loghi.png,2,477.1 KB (488520 bytes),4419 x 6250,64.50%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\loghi.png,
Untitled design (2).png,2,222.7 KB (228067 bytes),2652 x 3750,109.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
loghi.png,2,477.1 KB (488520 bytes),4419 x 6250,64.50%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\loghi.png,
Untitled design (2).png,3,222.7 KB (228067 bytes),2652 x 3750,88%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
DSC04516.jpg,3,715.9 KB (733098 bytes),2000 x 1333,26.50%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\DSC04516.jpg,
LEONE_modificato.jpg,3,624.1 KB (639084 bytes),1311 x 1032,33%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\LEONE_modificato.jpg,
Untitled design (2).png,3,222.7 KB (228067 bytes),2652 x 3750,109.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
logo_FAAC_white.png,4,7880 bytes (7880 bytes),928 x 237,19.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_FAAC_white.png,
Giuseppe Manini.png,4,615 KB (629749 bytes),1354 x 1494,84.3% x -84.3%,180.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Giuseppe Manini.png,
FE.jpg,4,4.8 MB (4989558 bytes),1831 x 1297,111.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\FE.jpg,FE 001
2_Artboard.jpg,4,2.1 MB (2246880 bytes),3125 x 3453,111%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\2_Artboard.jpg,
rollup-1.tif,5,175.5 MB (183994924 bytes),3887 x 5813,21.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\rollup-1.tif,Hologram projector screen with futuristic technology
DSC05262.jpg,5,1.1 MB (1139600 bytes),1333 x 2000,20.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\DSC05262.jpg,
DSC05062.jpg,6,584.5 KB (598543 bytes),2000 x 1334,13.70%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\DSC05062.jpg,
DSC05115.jpg,6,705.9 KB (722861 bytes),2000 x 1334,17.20%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\DSC05115.jpg,
2023_04_18_FAAC_foto_Maestri_Aufiero_0026.jpg,6,1.9 MB (1967386 bytes),2048 x 1365,47%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\2023_04_18_FAAC_foto_Maestri_Aufiero_0026.jpg,
logo_FAAC_white.png,6,7880 bytes (7880 bytes),928 x 237,19.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_FAAC_white.png,
2_Artboard.png,7,496.2 KB (508059 bytes),1723 x 1800,68.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\2_Artboard.png,
Untitled design (2).png,7,222.7 KB (228067 bytes),2652 x 3750,7.10%,270.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
Untitled design (2).png,7,222.7 KB (228067 bytes),2652 x 3750,7.10%,270.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
Untitled design (2).png,7,222.7 KB (228067 bytes),2652 x 3750,7.10%,270.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
