page;nome_modello;sku;confezioni
072;S418 24V;104301;<b>S418 comprende:</b> un attuatore elettromeccanico, accessori per l’installazione, una chiave di sblocco.
074;412 dx;104470;<b>412 dx o sx comprende:</b> un attuatore elettromeccanico (DX o SX), accessori per l’installazione, una chiave di sblocco, un condensatore di spunto 8μF 400V.
074;412 sx;104471;<b>412 dx o sx comprende:</b> un attuatore elettromeccanico (DX o SX), accessori per l’installazione, una chiave di sblocco, un condensatore di spunto 8μF 400V.
076;413 230V;104413;<b>413 230V comprende:</b> un attuatore elettromeccanico, accessori per l’installazione, una chiave di sblocco, un condensatore di spunto 6,3μF 400V. La versione LS include i finecorsa elettrici.
078;415 L;104417;<b>415 230V comprende:</b> un attuatore elettromeccanico, accessori per l’installazione, una chiave di sblocco, un condensatore di spunto 8μF 400V.
082;390 230V;104570;<b>390 230V comprende:</b> un operatore elettromeccanico, accessori per l’installazione, un condensatore di spunto 8μF 400V, una chiave di sblocco.
084;392 C;104583;<b>392 C comprende:</b> un operatore elettromeccanico con scheda elettronica e trasformatore incorporato, un braccio articolato, una chiave di sblocco. <b>392</b>
084;392 C;104584;<b>392 C comprende:</b> un operatore elettromeccanico con scheda elettronica e trasformatore incorporato, un braccio articolato, una chiave di sblocco. <b>392</b>
086;402 CBC;104468;<b>402 CBC comprende:</b> un attuatore oleodinamico con blocco idraulico in chiusura, accessori per l’installazione, una chiave di sblocco triangolare, un condensatore di spunto 8μF 400V.
086;402 SBS;104474;<b>402 CBC comprende:</b> un attuatore oleodinamico con blocco idraulico in chiusura, accessori per l’installazione, una chiave di sblocco triangolare, un condensatore di spunto 8μF 400V.
088;422 CBAC;104200;<b>422 comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura ( <b>422 CBAC</b> ), senza blocco ( <b>422 SBS</b> ), accessori per l’installazione, una chiave di sblocco, uno condensatore di spunto 8μF 400V.
