categoria_prodotto,nome_prodotto,nome_asta,pagina_catalogo,tipo_layout,immagine_principale,720118,titolo_prodotto,descrizione_prodotto,intensita_transito,caratteristica_primaria,valore_primario,caratteristica_secondaria,valore_secondario,caratteristica_terziaria,valore_terziario,novita,veloce,solare,brevetto_faac,badge_sistemi,codice_qr,certificazioni,descrizione_categoria,contenuto_confezione,schema_installazione,immagne_schema,componenti_kit,immagine_kit,sku_correlati,prodotti_correlati,Unnamed: 29,note_prodotto,quote_installazione,grafico_tecnico,tabella_molle,accessori_disponibili,immagine_schema,prototipo
Categoria,Prodotto,,Page,Layout,Prodotto Immagine,Modelli,Titolo,Descrizione,Transito (Basso;Medio;Alto),Prodotto Caratteristica Label 1,Prodotto Caratteristica Value 1,Prodotto Caratteristica Label 2,Prodotto Caratteristica Value 2,Caratteristica Terziaria,Valore Terziario,New,Fast,Solar,FAAC Patent,Icone,QRCode,Certificazioni,Categoria Descrizione Intestazione Prodotto,Confezioni,Schema Installazione,,Kit,Kit Immagine,SKU Correlate,Prodotti Correlati,Sku_binari_cinghia,Note,Quote,Grafico,Tabella Numero Molle,Altri Accessori,Immagine Schema,prototipo
PERFECT KIT,LEADER kit,,28,Kit special,Leader Kit_PERFECT KIT_3-2019 unico liv.png,120013;404040,Automazione oleodinamica 230V,,,Larghezza max singola anta,"1,8 m",,,,,,,,,Safe|<b>SAFEzone composto da:</b><br>LEADER kit 230V + 2SAFEcoder (da acquistare separatamente),,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante a battente esterno,,,,2|104468;1|790077;1|720119;1|410029;1|785103;1|787025;1|787017;1|CARTFA,LEADER kit_PERFECT_120013 .tif,,,,,,,,,,
PERFECT KIT,MASTER kit 230V,,29,Kit special,Master Kit_PERFECT KIT_3-2019 unico liv.png,120015;404040,Automazione elettromeccanica 230V,,,Larghezza max singola anta,"2,5 m (3 m con elettroserratura)",,,,,,,,,Safe|<b>SAFEzone composto da:</b><br>MASTER kit 230V + 2SAFEcoder (da acquistare separatamente),,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante a battente esterno,,,,2|104415;1|790077;1|720119;1|410029;1|785103;1|787025;1|787017;1|CARTFA,MASTER kit 230V_PERFECT_120015 .tif,,,,,,,,,,
PERFECT KIT,MASTER kit 24V,,30,Kit special,Master Kit_PERFECT KIT_3-2019 unico liv.png,120016,Automazione elettromeccanica 24V,,,Larghezza max singola anta,"2,5 m (3 m con elettroserratura)",,,,,,,,,Safe,,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante a battente esterno,,,,2|1044151;1|102011;1|410029;1|785103;1|787025;1|787017;1|CARTFA,MASTER kit 24V_PERFECT_120016.tif,,,,,,,,,,
PERFECT KIT,HANDY kit,,31,Kit special,Handy Kit_11-2018 ok unico liv.png,120019,Automazione elettromeccanica 24V,,,Larghezza max singola anta,"2,3 m (2,7 m con elettroserratura)",,,,,,,,,Safe,,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante a battente esterno,,,,2|104301;1|102011;1|410029;1|787025;1|787017;1|785103;1|CARTFA,HANDY kit_PERFECT_120019.tif,,,,,,,,,,
PERFECT KIT,ECO kit,,32,Kit special,Eco Kit_PERFECT KIT_3-2019 unico liv.png,120014;404041,Automazione elettromeccanica 230V,,,Larghezza max singola anta,"1,8 m",,,,,,,,,Safe|<b>SAFEzone composto da:</b><br>ECO kit 230V + 2SAFEcoder (da acquistare separatamente),,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante a battente esterno,,,,1|104470;1|104471;1|790077;1|720119;1|410029;1|787025;1|787017;1|785103;1|CARTFA,ECO kit_PERFECT_120014 .tif,,,,,,,,,,
PERFECT KIT,HIGH kit,,33,Kit special,73384 HIGH KIT 01-2021 render cmyk.png,120020,Attuatore 24V integrato,,,Larghezza max singola anta,"2 m (2,5 m con elettroserratura)",,,,,,,,,Safe;Green,,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante a battente con motore integrato,,,,2|104250;1|102011;1|787025;1|787017;1|785103,HIGH kit_PERFECT_120020 .tif,416250;416251;490250,,,,,,,,,
PERFECT KIT,POWER kit 230V,,34,Kit special,Power Kit_PERFECT KIT_3-2019 unico liv.png,120017;404035;490065,Automazione elettromeccanica 230V interrata,,,Larghezza max singola anta,"2 m (3,5 m con elettroserratura)",Peso max,500 Kg,,,,,,,Safe|<b>SAFEzone composto da:</b><br>POWER kit 230V + 2SAFEcoder (da acquistare separatamente),,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per battente a motore interrato,,,,2|10675201;1|790077;1|720119;1|410029;1|787025;1|787017;1|785103;1|CARTFA,POWER kit 230V_PERFECT_120017 .TIF,,,,,,,,,,
PERFECT KIT,POWER kit 24V,,35,Kit special,Power Kit_PERFECT KIT_3-2019 unico liv.png,120018;490065,Automazione elettromeccanica 24V interrata,,,Larghezza max singola anta,"2 m (3,5 m con elettroserratura)",Peso max,500 Kg,,,,,,,Safe,,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per battente a motore interrato,,,,2|10675301;1|102011;1|410029;1|787025;1|787017;1|785103;1|CARTFA,POWER kit 24V_PERFECT_120018 .TIF,,,,,,,,,,
PERFECT KIT,PRATICO C kit,,36,Kit special,Pratico Kit_PERFECT KIT_3-2019 unico liv.png,120011,Automazione a bagno d'olio 230V,,,Peso max anta,600 Kg,Velocità max,"9,6 m/min.",,,,,,,Safe,,CE;FDS;Simply,Automazioni in kit per ante scorrevoli,,,,1|109745;1|737816;1|410029;1|787025;1|787017;1|785103;1|CARTFA,PRATICO C kit_PERFECT_120011 .tif,,,,,,,,,,
PERFECT KIT,DELTA 2 kit,,37,Kit special,Delta 2 PERFECT Kit_2-2019 unico liv.png,120009,Automazione elettromeccanica 230V,,,Peso max anta,500 Kg,Velocità max,12 m/min.,,,,,,,Safe,,CE;FDS;Simply,Automazioni in kit per ante scorrevoli,,,,1|109600;1|410029;2|785102;1|787025;1|787017;1|CARTFA,DELTA2 kit_PERFECT_120009 .TIF,,,,,,,,,,
PERFECT KIT,DELTA 3 kit,,38,Kit special,Delta 3 PERFECT Kit_3-2019 unico liv.png,120010,Automazione elettromeccanica 230V,,,Peso max anta,900 Kg,Velocità max,12 m/min.,,,,,,,Safe;Green,,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante scorrevoli,,,,1|109602;1|410029;1|787025;1|787017;1|785102;1|CARTFA,DELTA3 kit_PERFECT_120010 .TIF,,,,,,,,,,
PERFECT KIT,RAPID kit,,39,Kit special,RAPID (Cyclo) PERFECT Kit_2-2019 unico liv.png,120012,Automazione elettromeccanica 24V,,,Peso max anta,400 Kg,Velocità max,18 m/min.,,,,,,,Safe;Green,,CE;Omnidec;2Easy;FDS;Simply,Automazioni in kit per ante scorrevoli,,,,1|109320;1|410029;1|787025;1|787017;1|785103;1|CARTFA,RAPID kit_PERFECT_120012 .TIF,,,,,,,,,,
