codice_sku,quantita,immagine_sku,ordine_tipo_componente,tipo_componente,nome_modello,modelli_correlati,descrizione_breve,tensione_alimentazione,corrente_assorbita,tipo_motore,potenza_massima,coppia_massima,materiale,trattamento_superficiale,forza_spinta,rapporto_riduzione,numero_max_schede_collegabili,velocita_angolare,velocita_anta,lunghezza_anta_max,lunghezza_asta_max,spazio_fermata,controllo_motore,tipo_finecorsa,pignone,regolazione_forza,peso_anta_max,angolo_apertura_max,temperatura_esercizio,termoprotezione,grado_protezione_ip,peso_unita,frequenza_utilizzo,larghezza_anta_max,dimensioni,scheda_elettronica,arresti_meccanici,tempo_utilizzo_continuo,tempo_apertura,encoder,tipo_rallentamento,tipo_asta,dimensione_pilastro,dispositivo_sblocco,condensatore_spunto,lunghezza,unita_misura_prezzo,icona_badge,decodifica_radio,memoria_codici_radio,collegamento,note_tecniche,corsa_stelo,dimensioni_colonna,peso_anta_cantilever,portata_pompa,staffe_fissaggio,tipo_olio,tipo_utilizzo,velocita_stelo,capacita_sollevamento,corsa_max,lunghezza_con_adattatore,diametro_motore,velocita_max,velocita_max_anta,velocita_max_carrello,peso_max_porta,dimensione_max_porta,altezza_max_serranda,larghezza_max_serranda,diametro_albero_serranda,numero_canali,frequenza_emissione,frequenza_ricezione,distanza_max_fotocellule,consumo_max,tensione_alimentazione_gen,tensione_alimentazione_accessori,temperatura_esercizio_gen,peso_operatore,altezza_min_architrave,rumorosita,velocita_rotazione_motore,velocita_rallentamento,tipologia_installazione,tipo_motoriduttore,ingressi_morsettiera,uscite_morsettiera,numero_uscite_rele,portata_contatti,numero_spire_collegabili,numero_max_lettori_bus2easy,numero_max_codici_utente,numero_max_comandi,formato_tag,durata_media_batteria,tipo_allineamento,angolo_autoallineamento,angolo_orientamento_orizzontale,tipo_contatti,microinterruttori_scambio,altezza_profilo_gomma,connettore_rapido,connettore_estraibile,connessioni,luce_cortesia,temporizzazione_lampada_cortesia,chiusura_coperchio,caratteristiche,gestione,diametro_scatole_portamolle,raffreddamento,tensione_elettroserratura,livelli_sensibilita_spira
SKU,COUNTIF,SKU Immagine,,Tipo,Nome Modello,Modelli Correlati,Descrizione Breve,Tensione di alimentazione di rete,Corrente assorbita,Motore elettrico,Potenza max,Coppia max,Tipo di materiale,Tipo di trattamento,Forza max di spinta,Rapporto di riduzione,Numero max schede di decodifica collegabili,Velocità angolare max,Velocità dell'anta,Lunghezza max anta,Lunghezza max asta,Spazio di fermata,Regolazione velocità e controllo motore,Finecorsa,Pignone,Regolazione della forza,Peso max anta,Angolo max apertura anta,Temperatura ambiente di esercizio,Termoprotezione,Grado di protezione,Peso,Frequenza di utilizzo,Larghezza max anta,Dimensioni (LxPxH),Apparecchiatura elettronica,Arresti meccanici integrati in apertura e chiusura,Tempo di utilizzo continuo (ROT),Tempo di apertura,Encoder,Tipo di rallentamento,Tipo di asta,Dimensione del pilastro a sezione quadrata,Dispositivo di sblocco,Condensatore di spunto,Lunghezza (mm),Unità Misura Prezzo,Icona 1,Decodifica,Memoria codici radio,Collegamento,Note,Corsa dello stelo,Dimensioni colonna,Peso max anta cantilever,Portata gruppo motore-pompa,Staffe di fissaggio,Tipo di olio,Tipo di utilizzo,Velocità max stelo,Capacità di sollevamento,Corsa max,Lunghezza con adattatore (L),Diametro motore,Velocità max,Velocità max anta,Velocità max carrello,Peso max porta,Dimensione max porta (LxH),Altezza max serranda,Larghezza max serranda,Diametro albero serranda,Numero canali,Frequenza di emissione,Frequenza di ricezione,Distanza max fotocellule,Consumo max,Tensione di alimentazione,Tensione di alimentazione accessori,Temperatura di esercizio,Peso operatore,Altezza min architrave,Rumorosità,Velocità di rotazione motore,Velocità di rallentamento,Tipologia di installazione,Tipo di motoriduttore,Ingressi in morsettiera,Uscite in morsettiera,Numero uscite a relè (N.A.),Portata contatti,Numero spire collegabili,Numero max LETTORI collegabili su scheda con Bus2Easy,Numero max. di codici utente,Numero max. di comandi,Formato TAG,Durata media batteria,Tipo di allineamento,Angolo di autoallineamento,Angolo di orientamento orizzontale,Tipo di contatti,Microinterruttori in scambio,Altezza profilo in gomma,Connettore rapido,Connettore estraibile,Connessioni,Luce di cortesia,Temporizzazione lampada di cortesia,Chiusura coperchio,Caratteristiche,Gestione,Diametro scatole portamolle,Raffreddamento,Tensione di alimentazione elettroserratura,Livelli di sensibilità indipendenti dall&apos;induttanza spira
104301,1,104301.tif,0,Modello,S418 24V,,Attuatore elettromeccanico 24V,220-240V~ 50/60 Hz,,Con spazzole 24V,35 W,,,,1800 N,,,,,,,,,,,,,110°,-20°C ÷ + 55°C,,IP54,6 Kg,Uso continuo,"2,3 m (2,7 m con elettroserratura)",823 x 104 x 137 mm,Non compresa,,,,,,,,,,,,,,,,"t Non è compatibile con la scheda E124S.
t Le 2 batterie Pb standard non sono fornite da FAAC e devono avere
tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm",350 mm (390 mm senza arresti),,,,Attacco posteriore ad avvitare e regolabile - attacco anteriore ad avvitare e regolabile,,,37 mm/s (con E124),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102011,1,102011.tif,1,Apparecchiature Elettroniche,,,Apparecchiatura elettronica E034 con contenitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790286,1,790286.tif,1,Apparecchiature Elettroniche,,,Apparecchiatura elettronica E024S con contenitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790305,1,790284.tif,1,Apparecchiature Elettroniche,,,Apparecchiatura elettronica E124S con contenitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390130,1,390130.png,9,Accessori,,,Kit basso consumo XLC (Compatibile con E034),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390923,1,390923.tif,9,Accessori,,,Kit batteria d'emergenza XBAT 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non è compatibile con la scheda E124S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390926,1,390926.tif,9,Accessori,,,Kit supporto batteria d'emergenza (specifico per E124S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790062,1,790062.tif,9,Accessori,,,"Interfaccia BUS XIB (per scheda E045, E045S, E024S o E034 con fotocellula no BUS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104470,1,104470.tif,0,Modello,412 dx,,Attuatore elettromeccanico 230V,220-240V~ 50/60 Hz,,Asincrono monofase,280 W,,,,3500 N (*),,,,,,"1,8 m",,,,,,,110°,-20°C ÷ + 55°C,140°C,IP44,"6,5 Kg",18 cicli/ora,"1,8 m",991 x 101 x 172 mm,Non compresa,,,,,,,,,,,,,,,,(*) dati riferiti a 230V~ 50Hz. Corsa dello stelo: 290 mm,290 mm,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
