page;product_name;codici_modelli;categoria_prodotto
;;;Categoria
28;LEADER kit PERFECT 60;"104468; 120013; 404040; 410029; 720119; 785103; 787017; 787025; 790077";PERFECT KIT
29;MASTER kit 230V PERFECT 60;"104415; 120015; 404040; 410029; 720119; 785103; 787017; 787025; 790077";PERFECT KIT
30;MASTER kit 24V PERFECT 60;"102011; 120016; 410029; 785103; 787017; 787025; 1044151";PERFECT KIT
31;HANDY kit PERFECT 60;"102011; 104301; 120019; 410029; 785103; 787017; 787025";PERFECT KIT
32;ECO kit PERFECT 60;"104470; 104471; 120014; 404041; 410029; 720119; 785103; 787017; 787025; 790077";PERFECT KIT
33;HIGH kit PERFECT 60;"102011; 104250; 120020; 416250; 416251; 490250; 785103; 787017; 787025";PERFECT KIT
34;POWER kit 230V PERFECT 60;"120017; 404035; 410029; 490065; 720119; 785103; 787017; 787025; 790077; 10675201";PERFECT KIT
35;POWER kit 24V PERFECT 60;"102011; 120018; 410029; 490065; 785103; 787017; 787025; 10675201";PERFECT KIT
36;PRATICO C kit PERFECT 60;"109745; 120011; 410029; 737816; 785103; 787017; 787025";PERFECT KIT
37;DELTA 2 kit PERFECT 60;"109600; 120009; 410029; 787017; 787025";PERFECT KIT
38;DELTA 3 kit PERFECT 60;"109702; 120010; 410029; 785102; 787017; 787025";PERFECT KIT
39;RAPID kit PERFECT 60;"109320; 120012; 410029; 785103; 787017; 787025";PERFECT KIT
42;SAFE&GREEN Retrofit kit;"390113; 404040; 790076";CLASSIC KIT
43;HYBRID kit;"104100; 105683; 401304; 410029; 785103; 787007; 787831; 790284; 71275101";CLASSIC KIT
44;LEADER kit;"104468; 401304; 404040; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 105633445";CLASSIC KIT
45;TRENDY kit 230V;"104413; 401304; 404040; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 104419445";CLASSIC KIT
46;MASTER kit 230V;"104415; 401304; 404040; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 104415445";CLASSIC KIT
47;MASTER kit 24V;"102011; 401304; 410029; 785103; 787007; 787831; 1044151; 71275101; 104415144";CLASSIC KIT
48;HANDY kit;"102011; 104301; 105998; 401304; 410029; 785103; 787007; 787831; 71275101";CLASSIC KIT
49;ECO kit;"104470; 104471; 401304; 404041; 410029; 720119; 785103; 787007; 787831; 790077; 71275101; 105632445";CLASSIC KIT
50;ENERGY kit;"104575; 104583; 104584; 401304; 410029; 785103; 787007; 787831; 71275101";CLASSIC KIT
51;HIGH KIT;"102011; 104250; 401304; 416250; 416251; 490250; 785103; 787007; 787831; 71275101; 104250445";CLASSIC KIT
52;POWER kit 230V;"401304; 404035; 410029; 490065; 720119; 785103; 787007; 787831; 790077; 10675201; 71275101; 106746445";CLASSIC KIT
53;POWER kit 24V;"102011; 401304; 410029; 490065; 785103; 787007; 787831; 10675301; 71275101; 106747445";CLASSIC KIT
54;PRATICO C kit;"105940; 109745; 401304; 410029; 737816; 785103; 787007; 787831; 71275101";CLASSIC KIT
55;DELTA 2 kit;"401302; 410029; 785102; 787007; 787852; 1097805; 71275101; 1056303445";CLASSIC KIT
56;DELTA 3 kit;"401302; 410029; 785102; 787007; 787852; 1097815; 71275101; 105630445";CLASSIC KIT
57;RAPID kit;"105083; 109320; 109321; 401304; 410029; 785103; 787007; 787831; 1059995; 71275101";CLASSIC KIT
58;SOLID kit;"110549; 787007; 787852; 10561644; 424550001";CLASSIC KIT
59;DOLPHIN kit;"110600; 390548; 787007; 787831; 10566544";CLASSIC KIT
60;ROTOR Kit;"109940; 109951; 391456; 720119; 785102; 787008; 787852; 790905";CLASSIC KIT
72;S418;104301;Automazioni per ante a battente esterno
74;412;"104470; 104471";Automazioni per ante a battente esterno
74;412;"104470; 104471";Automazioni per ante a battente esterno
76;413 230V;104413;Automazioni per ante a battente esterno
78;415 230V;"104415; 104417";Automazioni per ante a battente esterno
78;415 230V;"104415; 104417";Automazioni per ante a battente esterno
80;415 24V;"1044151; 1044171";Automazioni per ante a battente esterno
80;415 24V;"1044151; 1044171";Automazioni per ante a battente esterno
82;390 230V;104570;Automazioni per ante a battente esterno
84;392 C;"104583; 104584";Automazioni per ante a battente esterno
84;392 C;"104583; 104584";Automazioni per ante a battente esterno
86;402;"104468; 104474";Automazioni per ante a battente esterno
86;402;"104468; 104474";Automazioni per ante a battente esterno
88;422;"104200; 104210";Automazioni per ante a battente esterno
88;422;"104200; 104210";Automazioni per ante a battente esterno
90;400;"104205; 104206; 104203; 104201; 104202; 104220";Automazioni per ante a battente esterno
90;400;"104205; 104206; 104203; 104201; 104202; 104220";Automazioni per ante a battente esterno
90;400;"104205; 104206; 104203; 104201; 104202; 104220";Automazioni per ante a battente esterno
90;400;"104205; 104206; 104203; 104201; 104202; 104220";Automazioni per ante a battente esterno
90;400;"104205; 104206; 104203; 104201; 104202; 104220";Automazioni per ante a battente esterno
90;400;"104205; 104206; 104203; 104201; 104202; 104220";Automazioni per ante a battente esterno
92;S450H;"104100; 104101";Automazioni per ante a battente esterno
92;S450H;"104100; 104101";Automazioni per ante a battente esterno
96;S2500I;104250;Automazioni per ante a battente con motore interrato
98;770N 230V;10675201;Automazioni per ante a battente con motore interrato
100;770N 24V;10675301;Automazioni per ante a battente con motore interrato
102;S800H ENC;"108720; 108724; 108722; 108725";Automazioni per ante a battente con motore interrato
102;S800H ENC;"108720; 108724; 108722; 108725";Automazioni per ante a battente con motore interrato
102;S800H ENC;"108720; 108724; 108722; 108725";Automazioni per ante a battente con motore interrato
102;S800H ENC;"108720; 108724; 108722; 108725";Automazioni per ante a battente con motore interrato
104;S800 ENC;"108800; 108802; 108801; 108803";Automazioni per ante a battente con motore interrato
104;S800 ENC;"108800; 108802; 108801; 108803";Automazioni per ante a battente con motore interrato
104;S800 ENC;"108800; 108802; 108801; 108803";Automazioni per ante a battente con motore interrato
104;S800 ENC;"108800; 108802; 108801; 108803";Automazioni per ante a battente con motore interrato
108;C4000I;109001;Automazioni per cancelli scorrevoli
