categoria_prodotto;nome_prodotto;titolo_prodotto;tipo_layout;descrizione_categoria;codici_modelli;prodotti_correlati
PERFECT KIT;LEADER kit PERFECT 60;LEADER kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"104468;120013;404040;410029;720119;785103;787017;787025;790077";
PERFECT KIT;MASTER kit 230V PERFECT 60;MASTER kit 230V PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"104415;120015;404040;410029;720119;785103;787017;787025;790077";
PERFECT KIT;MASTER kit 24V PERFECT 60;MASTER kit 24V PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"102011;120016;410029;785103;787017;787025;1044151";
PERFECT KIT;HANDY kit PERFECT 60;HANDY kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"102011;104301;120019;410029;785103;787017;787025";
PERFECT KIT;ECO kit PERFECT 60;ECO kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"104470;104471;120014;404041;410029;720119;785103;787017;787025;790077";
PERFECT KIT;HIGH kit PERFECT 60;HIGH kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"102011;104250;120020;416250;416251;490250;785103;787017;787025";
PERFECT KIT;POWER kit 230V PERFECT 60;POWER kit 230V PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"120017;404035;410029;490065;720119;785103;787017;787025;790077;10675201";
PERFECT KIT;POWER kit 24V PERFECT 60;POWER kit 24V PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"102011;120018;410029;490065;785103;787017;787025;10675201";
PERFECT KIT;PRATICO C kit PERFECT 60;PRATICO C kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"109745;120011;410029;737816;785103;787017;787025";
PERFECT KIT;DELTA 2 kit PERFECT 60;DELTA 2 kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"109600;120009;410029;787017;787025";
PERFECT KIT;DELTA 3 kit PERFECT 60;DELTA 3 kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"109702;120010;410029;785102;787017;787025";
PERFECT KIT;RAPID kit PERFECT 60;RAPID kit PERFECT 60;kit special;Kit di automazione serie PERFECT 60;"109320;120012;410029;785103;787017;787025";
CLASSIC KIT;SAFE&GREEN Retrofit kit;SAFE&GREEN Retrofit kit;kit special;Kit di automazione classici;"390113;404040;790076";
CLASSIC KIT;HYBRID kit;HYBRID kit;kit special;Kit di automazione classici;"104100;105683;401304;410029;785103;787007;787831;790284;71275101";
CLASSIC KIT;LEADER kit;LEADER kit;kit special;Kit di automazione classici;"104468;401304;404040;410029;720119;785103;787007;787831;790077;71275101;105633445";
CLASSIC KIT;TRENDY kit 230V;TRENDY kit 230V;kit special;Kit di automazione classici;"104413;401304;404040;410029;720119;785103;787007;787831;790077;71275101;104419445";
CLASSIC KIT;MASTER kit 230V;MASTER kit 230V;kit special;Kit di automazione classici;"104415;401304;404040;410029;720119;785103;787007;787831;790077;71275101;104415445";
CLASSIC KIT;MASTER kit 24V;MASTER kit 24V;kit special;Kit di automazione classici;"102011;401304;410029;785103;787007;787831;1044151;71275101;104415144";
CLASSIC KIT;HANDY kit;HANDY kit;kit special;Kit di automazione classici;"102011;104301;105998;401304;410029;785103;787007;787831;71275101";
CLASSIC KIT;ECO kit;ECO kit;kit special;Kit di automazione classici;"104470;104471;401304;404041;410029;720119;785103;787007;787831;790077;71275101;105632445";
CLASSIC KIT;ENERGY kit;ENERGY kit;kit special;Kit di automazione classici;"104575;104583;104584;401304;410029;785103;787007;787831;71275101";
CLASSIC KIT;HIGH KIT;HIGH KIT;kit special;Kit di automazione classici;"102011;104250;401304;416250;416251;490250;785103;787007;787831;71275101;104250445";
CLASSIC KIT;POWER kit 230V;POWER kit 230V;kit special;Kit di automazione classici;"401304;404035;410029;490065;720119;785103;787007;787831;790077;10675201;71275101;106746445";
CLASSIC KIT;POWER kit 24V;POWER kit 24V;kit special;Kit di automazione classici;"102011;401304;410029;490065;785103;787007;787831;10675301;71275101;106747445";
CLASSIC KIT;PRATICO C kit;PRATICO C kit;kit special;Kit di automazione classici;"105940;109745;401304;410029;737816;785103;787007;787831;71275101";
CLASSIC KIT;DELTA 2 kit;DELTA 2 kit;kit special;Kit di automazione classici;"401302;410029;785102;787007;787852;1097805;71275101;1056303445";
CLASSIC KIT;DELTA 3 kit;DELTA 3 kit;kit special;Kit di automazione classici;"401302;410029;785102;787007;787852;1097815;71275101;105630445";
CLASSIC KIT;RAPID kit;RAPID kit;kit special;Kit di automazione classici;"105083;109320;109321;401304;410029;785103;787007;787831;1059995;71275101";
CLASSIC KIT;SOLID kit;SOLID kit;kit special;Kit di automazione classici;"110549;787007;787852;10561644;424550001";
CLASSIC KIT;DOLPHIN kit;DOLPHIN kit;kit special;Kit di automazione classici;"110600;390548;787007;787831;10566544";
CLASSIC KIT;ROTOR Kit;ROTOR Kit;kit special;Kit di automazione classici;"109940;109951;391456;720119;785102;787008;787852;790905";
Automazioni per ante a battente esterno;S418;S418;automazione;Operatori per cancelli a battente montaggio esterno;"102011;104301;390130;390923;390926;669900;770088;790062;790286;790305";
Automazioni per ante a battente esterno;412;412;automazione;Operatori per cancelli a battente montaggio esterno;"104470;104471;404041;713009;720118;720119;720309;737604;790062;790076;790077";
