page;product_name;schema_installazione
263;390 230V;"1|2|104570;1|2|738705;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|1|104583;1|1|104584;1|1|787831;2|1|410029;3|1|401304;3|1|71275101;4|1|785103;4|1|787007"
263;392 C;"1|1|104583;1|1|104584;1|1|787831;2|1|410029;3|1|401304;3|1|71275101;4|1|785103;4|1|787007;1|2|104570;1|2|738705;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007"
264;412;"1|1|104470;1|1|104471;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|1044151;2|1|410029;3|1|401304;3|1|71275101;4|1|790286;4|1|787831;5|1|785103;5|1|787007;1|2|104415;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104413;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007"
264;413 230V;"1|2|104415;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|1|104470;1|1|104471;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|1044151;2|1|410029;3|1|401304;3|1|71275101;4|1|790286;4|1|787831;5|1|785103;5|1|787007;1|2|104413;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007"
265;415 230V;"1|1|104470;1|1|104471;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104413;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|1044151;2|1|410029;3|1|401304;3|1|71275101;4|1|790286;4|1|787831;5|1|785103;5|1|787007;1|2|104415;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007"
265;415 24V;"1|2|1044151;2|1|410029;3|1|401304;3|1|71275101;4|1|790286;4|1|787831;5|1|785103;5|1|787007;1|1|104470;1|1|104471;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104413;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104415;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007"
266;402;"1|2|104100;2|1|410029;3|1|401304;3|1|71275101;4|1|790305;4|1|787831;5|1|785103;5|1|787007;1|2|104301;2|1|410029;3|1|401304;3|1|71275101;4|1|102011;4|1|787831;5|1|785103;5|1|787007;1|2|104468;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104200;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007"
266;S418;"1|2|104100;2|1|410029;3|1|401304;3|1|71275101;4|1|790305;4|1|787831;5|1|785103;5|1|787007;1|2|104468;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104200;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104301;2|1|410029;3|1|401304;3|1|71275101;4|1|102011;4|1|787831;5|1|785103;5|1|787007"
267;422;"1|2|104468;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104100;2|1|410029;3|1|401304;3|1|71275101;4|1|790305;4|1|787831;5|1|785103;5|1|787007;1|2|104200;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104301;2|1|410029;3|1|401304;3|1|71275101;4|1|102011;4|1|787831;5|1|785103;5|1|787007"
267;S450H;"1|2|104301;2|1|410029;3|1|401304;3|1|71275101;4|1|102011;4|1|787831;5|1|785103;5|1|787007;1|2|104468;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104200;2|1|410029;3|1|401304;3|1|71275101;4|1|790077;4|1|720119;4|1|787831;5|1|785103;5|1|787007;1|2|104100;2|1|410029;3|1|401304;3|1|71275101;4|1|790305;4|1|787831;5|1|785103;5|1|787007"
