page;tipo_componente;descrizione_breve;sku;nota;colore_rombo
072;ACCESSORI;Kit batteria d’emergenza XBAT 24;102011;Non è compatibile con la scheda E124S.;sconosciuto
072;ACCESSORI;Kit batteria d’emergenza XBAT 24;102011;Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm;nero
080;ACCESSORI;Kit batteria d’emergenza XBAT 24;737604;Non è compatibile con la scheda E124S.;sconosciuto
080;ACCESSORI;Kit batteria d’emergenza XBAT 24;737604;Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm;nero
084;ACCESSORI;Kit supporto batteria d’emergenza  (specifico per E124S);102011;Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm;nero
084;ACCESSORI;Kit supporto batteria d’emergenza  (specifico per E124S);102011;Non è compatibile con la scheda E124S.;grigio
092;ACCESSORI;Kit batteria d’emergenza XBAT 24;790305;Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm;sconosciuto
096;ACCESSORI;Kit supporto batteria d’emergenza  (specifico per E124S);490252;Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm;nero
100;ACCESSORI;Kit batteria d’emergenza XBAT 24;404035;Non è compatibile con la scheda E124S.;grigio
100;ACCESSORI;Kit batteria d’emergenza XBAT 24;404035;Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm;nero
102;ACCESSORI;Kit supporto batteria d’emergenza  (specifico per E124S);390035;Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm;nero
108;ACCESSORI;Cremagliera nylon 30x20 mod.4 con anima in acciaio (conf. 4pezzi da 1m);490124;Peso massimo del cancello: 400kg.;magenta
114;ACCESSORI;Cremagliera nylon 30x20 mod.4 con anima in acciaio (conf. 4pezzi da 1m);490124;Peso massimo del cancello: 400kg.;magenta
116;ACCESSORI;Cremagliera nylon 30x20 mod.4 con anima in acciaio (conf. 4pezzi da 1m);490333;Peso massimo del cancello: 400kg.;magenta
118;ACCESSORI;Cremagliera nylon 30x20 mod.4 con anima in acciaio (conf. 4pezzi da 1m);490124;Peso massimo del cancello: 400kg.;magenta
120;ACCESSORI;Cremagliera nylon 30x20 mod.4 con anima in acciaio (conf. 4pezzi da 1m);490333;Peso massimo del cancello: 400kg.;magenta
164;ACCESSORI;Tasca di fissaggio per asta rettangolare;428342;Per un corretto bilanciamento, l'installazione di un piedino su un'asta e su un'asta con siepe, comporta la scelta di un cofano barriera per una lunghezza asta superiore di 0,5 m.;magenta
168;ACCESSORI;Tasca di fissaggio per aste tonde S 615/620/B614;390993;Per un corretto bilanciamento, l'installazione di un piedino su un'asta e su un'asta con siepe, comporta la scelta di un cofano barriera per una lunghezza asta superiore di 0,5 m.;magenta
168;ACCESSORI;Tasca di fissaggio per aste tonde S 615/620/B614;390993;Il gruppo antipanico e la valvola antivandalismo non possono coesistere sulla stessa barriera. Consente l’apertura manuale dell'asta in caso di assenza di alimentazione elettrica.;grigio
172;ACCESSORI;Tasca di fissaggio per asta rettangolare;428342;Il gruppo antipanico e la valvola antivandalismo non possono coesistere sulla stessa barriera. Consente l’apertura manuale dell'asta in caso di assenza di alimentazione elettrica.;grigio
226;ACCESSORI;Adattatore per colonnetta o incasso;401064;Per installazioni a parete con tubazione esterna o ad incasso, sono obbligatori gli adattatori 401064 e 401065.;sconosciuto
227;ACCESSORI;Adattatore per colonnetta o incasso;785200;Per installazioni a parete con tubazione esterna o ad incasso, sono obbligatori gli adattatori 401064 e 401065.;sconosciuto
240;ACCESSORI;Kit Elettrofreno;391454;per sblocco esterno utilizzare il selettore a chiave antieffrazione con sblocco a leva cod.391456;grigio
242;ACCESSORI;Kit Elettrofreno;391454;per sblocco esterno utilizzare il selettore a chiave antieffrazione con sblocco a leva cod. 391456;grigio
244;ACCESSORI;Kit Elettrofreno;391455;Per sblocco esterno utilizzare il selettore a chiave antieffrazione con sblocco a leva cod. 391456;grigio
