Page,Product,Spec_Label,Model_1,Model_1_SKU,Value_1,Model_2,Model_2_SKU,Value_2,Model_3,Model_3_SKU,Value_3,Model_4,Model_4_SKU,Value_4,Model_5,Model_5_SKU,Value_5,Model_6,Model_6_SKU,Value_6,Model_7,Model_7_SKU,Value_7,Model_8,Model_8_SKU,Value_8,Model_9,Model_9_SKU,Value_9,Model_10,Model_10_SKU,Value_10,Model_11,Model_11_SKU,Value_11
160-163,B614,Apparecchiatura elettronica,B614 Rosso RAL 3020,104614,E614,B614 Grigio RAL 9006,1046143,E614,Asta 5.000,428002,E614,Asta 3.300,428042,E614,Asta 4.300 *,428043,E614,Asta 2.300,428045,E614,Asta 2.000 *,428046,E614,Asta 2.315,428088,E614,Asta 2.815,428089,E614,Asta 3.815,428090,E614,Asta 4.815,428091,E614
160-163,B614,Coppia max,B614 Rosso RAL 3020,104614,300 Nm,B614 Grigio RAL 9006,1046143,300 Nm,Asta 5.000,428002,300 Nm,Asta 3.300,428042,300 Nm,Asta 4.300 *,428043,300 Nm,Asta 2.300,428045,300 Nm,Asta 2.000 *,428046,300 Nm,Asta 2.315,428088,300 Nm,Asta 2.815,428089,300 Nm,Asta 3.815,428090,300 Nm,Asta 4.815,428091,300 Nm
160-163,B614,Dimensioni (LxPxH),B614 Rosso RAL 3020,104614,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),B614 Grigio RAL 9006,1046143,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 5.000,428002,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 3.300,428042,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 4.300 *,428043,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 2.300,428045,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 2.000 *,428046,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 2.315,428088,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 2.815,428089,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 3.815,428090,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Asta 4.815,428091,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm)
160-163,B614,Encoder,B614 Rosso RAL 3020,104614,Incrementale integrato nel motore,B614 Grigio RAL 9006,1046143,Incrementale integrato nel motore,Asta 5.000,428002,Incrementale integrato nel motore,Asta 3.300,428042,Incrementale integrato nel motore,Asta 4.300 *,428043,Incrementale integrato nel motore,Asta 2.300,428045,Incrementale integrato nel motore,Asta 2.000 *,428046,Incrementale integrato nel motore,Asta 2.315,428088,Incrementale integrato nel motore,Asta 2.815,428089,Incrementale integrato nel motore,Asta 3.815,428090,Incrementale integrato nel motore,Asta 4.815,428091,Incrementale integrato nel motore
160-163,B614,Frequenza di utilizzo,B614 Rosso RAL 3020,104614,Utilizzo continuo,B614 Grigio RAL 9006,1046143,Utilizzo continuo,Asta 5.000,428002,Utilizzo continuo,Asta 3.300,428042,Utilizzo continuo,Asta 4.300 *,428043,Utilizzo continuo,Asta 2.300,428045,Utilizzo continuo,Asta 2.000 *,428046,Utilizzo continuo,Asta 2.315,428088,Utilizzo continuo,Asta 2.815,428089,Utilizzo continuo,Asta 3.815,428090,Utilizzo continuo,Asta 4.815,428091,Utilizzo continuo
160-163,B614,Grado di protezione,B614 Rosso RAL 3020,104614,IP55 (scheda di controllo) - IP44,B614 Grigio RAL 9006,1046143,IP55 (scheda di controllo) - IP44,Asta 5.000,428002,IP55 (scheda di controllo) - IP44,Asta 3.300,428042,IP55 (scheda di controllo) - IP44,Asta 4.300 *,428043,IP55 (scheda di controllo) - IP44,Asta 2.300,428045,IP55 (scheda di controllo) - IP44,Asta 2.000 *,428046,IP55 (scheda di controllo) - IP44,Asta 2.315,428088,IP55 (scheda di controllo) - IP44,Asta 2.815,428089,IP55 (scheda di controllo) - IP44,Asta 3.815,428090,IP55 (scheda di controllo) - IP44,Asta 4.815,428091,IP55 (scheda di controllo) - IP44
160-163,B614,Lunghezza (mm),B614 Rosso RAL 3020,104614,-,B614 Grigio RAL 9006,1046143,-,Asta 5.000,428002,5.000,Asta 3.300,428042,3.300,Asta 4.300 *,428043,4.300 *,Asta 2.300,428045,2.300,Asta 2.000 *,428046,2.000 *,Asta 2.315,428088,2.315,Asta 2.815,428089,2.815,Asta 3.815,428090,3.815,Asta 4.815,428091,4.815
160-163,B614,Lunghezza max asta,B614 Rosso RAL 3020,104614,6 m,B614 Grigio RAL 9006,1046143,6 m,Asta 5.000,428002,6 m,Asta 3.300,428042,6 m,Asta 4.300 *,428043,6 m,Asta 2.300,428045,6 m,Asta 2.000 *,428046,6 m,Asta 2.315,428088,6 m,Asta 2.815,428089,6 m,Asta 3.815,428090,6 m,Asta 4.815,428091,6 m
160-163,B614,Motore elettrico,B614 Rosso RAL 3020,104614,Con spazzole 24V,B614 Grigio RAL 9006,1046143,Con spazzole 24V,Asta 5.000,428002,Con spazzole 24V,Asta 3.300,428042,Con spazzole 24V,Asta 4.300 *,428043,Con spazzole 24V,Asta 2.300,428045,Con spazzole 24V,Asta 2.000 *,428046,Con spazzole 24V,Asta 2.315,428088,Con spazzole 24V,Asta 2.815,428089,Con spazzole 24V,Asta 3.815,428090,Con spazzole 24V,Asta 4.815,428091,Con spazzole 24V
160-163,B614,Peso,B614 Rosso RAL 3020,104614,40 Kg,B614 Grigio RAL 9006,1046143,40 Kg,Asta 5.000,428002,40 Kg,Asta 3.300,428042,40 Kg,Asta 4.300 *,428043,40 Kg,Asta 2.300,428045,40 Kg,Asta 2.000 *,428046,40 Kg,Asta 2.315,428088,40 Kg,Asta 2.815,428089,40 Kg,Asta 3.815,428090,40 Kg,Asta 4.815,428091,40 Kg
160-163,B614,Potenza max,B614 Rosso RAL 3020,104614,165 W,B614 Grigio RAL 9006,1046143,165 W,Asta 5.000,428002,165 W,Asta 3.300,428042,165 W,Asta 4.300 *,428043,165 W,Asta 2.300,428045,165 W,Asta 2.000 *,428046,165 W,Asta 2.315,428088,165 W,Asta 2.815,428089,165 W,Asta 3.815,428090,165 W,Asta 4.815,428091,165 W
160-163,B614,Prezzo €,B614 Rosso RAL 3020,104614,"1.556,00",B614 Grigio RAL 9006,1046143,"1.556,00",Asta 5.000,428002,"268,00",Asta 3.300,428042,"185,00",Asta 4.300 *,428043,"230,00",Asta 2.300,428045,"155,00",Asta 2.000 *,428046,"134,00",Asta 2.315,428088,"152,00",Asta 2.815,428089,"173,00",Asta 3.815,428090,"188,00",Asta 4.815,428091,"207,00"
160-163,B614,Temperatura ambiente di esercizio,B614 Rosso RAL 3020,104614,-20°C ÷ +55°C,B614 Grigio RAL 9006,1046143,-20°C ÷ +55°C,Asta 5.000,428002,-20°C ÷ +55°C,Asta 3.300,428042,-20°C ÷ +55°C,Asta 4.300 *,428043,-20°C ÷ +55°C,Asta 2.300,428045,-20°C ÷ +55°C,Asta 2.000 *,428046,-20°C ÷ +55°C,Asta 2.315,428088,-20°C ÷ +55°C,Asta 2.815,428089,-20°C ÷ +55°C,Asta 3.815,428090,-20°C ÷ +55°C,Asta 4.815,428091,-20°C ÷ +55°C
160-163,B614,Tempo di apertura,B614 Rosso RAL 3020,104614,< 2 s (80°- 3m),B614 Grigio RAL 9006,1046143,< 2 s (80°- 3m),Asta 5.000,428002,< 2 s (80°- 3m),Asta 3.300,428042,< 2 s (80°- 3m),Asta 4.300 *,428043,< 2 s (80°- 3m),Asta 2.300,428045,< 2 s (80°- 3m),Asta 2.000 *,428046,< 2 s (80°- 3m),Asta 2.315,428088,< 2 s (80°- 3m),Asta 2.815,428089,< 2 s (80°- 3m),Asta 3.815,428090,< 2 s (80°- 3m),Asta 4.815,428091,< 2 s (80°- 3m)
