Page,Product,Spec_Label,Model_1,Model_1_SKU,Value_1,Model_2,Model_2_SKU,Value_2,Model_3,Model_3_SKU,Value_3,Model_4,Model_4_SKU,Value_4,Model_5,Model_5_SKU,Value_5,Model_6,Model_6_SKU,Value_6,Model_7,Model_7_SKU,Value_7,Model_8,Model_8_SKU,Value_8,Model_9,Model_9_SKU,Value_9,Model_10,Model_10_SKU,Value_10,Model_11,Model_11_SKU,Value_11
072-073,S418,Tensione di alimentazione di rete,S418 24V,104301,220-240V~ 50/60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Motore elettrico,S418 24V,104301,Con spazzole 24V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Potenza max,S418 24V,104301,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Forza max di spinta,S418 24V,104301,1800 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Velocità max stelo,S418 24V,104301,37 mm/s (con E124),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Corsa dello stelo,S418 24V,104301,350 mm (390 mm senza arresti),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Angolo max apertura anta,S418 24V,104301,110°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Temperatura ambiente di esercizio,S418 24V,104301,-20°C ÷ + 55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Grado di protezione,S418 24V,104301,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Peso,S418 24V,104301,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Frequenza di utilizzo,S418 24V,104301,Uso continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Larghezza max anta,S418 24V,104301,"2,3 m (2,7 m con elettroserratura)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Staffe di fissaggio,S418 24V,104301,Attacco posteriore ad avvitare e regolabile - attacco anteriore ad avvitare e regolabile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Dimensioni (LxPxH),S418 24V,104301,823 x 104 x 137 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072-073,S418,Apparecchiatura elettronica,S418 24V,104301,Non compresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Tensione di alimentazione di rete,412 dx,104470,220-240V~ 50/60 Hz,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Motore elettrico,412 dx,104470,Asincrono monofase,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Potenza max,412 dx,104470,280 W,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Forza max di spinta,412 dx,104470,3500 N (*),412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Velocità max stelo,412 dx,104470,16 mm/s (*),412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Corsa dello stelo,412 dx,104470,290 mm,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Angolo max apertura anta,412 dx,104470,110°,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Temperatura ambiente di esercizio,412 dx,104470,-20°C ÷ + 55°C,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-075,412,Termoprotezione,412 dx,104470,140°C,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
