Page,Product,nome_modello,codice_sku,(in base alla frequenza scelta 433MHz o 868MHz),") e nasce per la realizzazione di impianti altamente professionali in cui sia richiesta la programmazione dei radiocomandi e delle schede di memoria con codici dedicati tramite unità di programmazione e/o tramite software a PC. Ciò consente inoltre la creazione dei archivi a PC dei codici presenti su ogni impianto realizzato, agevolando di conseguenza la gestione dell’impianto (aggiunta codici radio da remoto).",Altezza max serranda,Altezza min architrave,Altezza profilo in gomma,Angolo max apertura anta,Apparecchiatura elettronica,Arresti meccanici integrati in apertura e chiusura,Capacità di memoria 1000 codici espandibili fino a,Capacità di sollevamento,Collegamento,Condensatore di spunto,Coppia max,Corsa dello stelo,Diametro albero serranda,Diametro scatole portamolle,Dimensioni (LxPxH),Encoder,Finecorsa,Forza max di spinta,Frequenza di emissione,Frequenza di ricezione,Frequenza di utilizzo,"Frequenza d’utilizzo 433,92 - 868,35 MHz","Frequenza d’utilizzo 433,92 MHz","Frequenza d’utilizzo 868,35 MHz","Frequenza d’utilizzo 868,35 MHz o 433,92 MHz",Grado di protezione,Larghezza max anta,Larghezza max serranda,Lunghezza max anta,Lunghezza max asta,Memoria codici radio,Modulo di frequenza,Motore elettrico,Numero max LETTORI collegabili su scheda con Bus2Easy,Numero max schede di decodifica collegabili,Numero max. di codici utente,Numero max. di comandi,Peso,Peso max anta,Peso max anta cantilever,Peso max porta,Peso operatore,Pignone,Portata contatti,Portata gruppo motore-pompa,Potenza max,Protocollo radio basato sulla modulazione di frequenza con prestazioni ottimali in termini di autonomia e durata della batteria; la trasmissione radio è protetta dall'algoritmo di crittografia simmetrica,Rapporto di riduzione,Regolazione della forza,Regolazione velocità e controllo motore,Spazio di fermata,Staffe di fissaggio,Temperatura ambiente di esercizio,Temperatura di esercizio,Tempo di apertura,Tempo di utilizzo continuo (ROT),Tensione di alimentazione,Tensione di alimentazione accessori,Tensione di alimentazione di rete,Tensione di alimentazione elettroserratura,Termoprotezione,Tipo di asta,Tipo di olio,Tipo di rallentamento,Tipo di utilizzo,Velocità angolare max,Velocità dell'anta,Velocità di rallentamento,Velocità di rotazione motore,Velocità max,Velocità max anta,Velocità max carrello,Velocità max stelo,"le trasmittenti e le riceventi sono in grado di comunicare a 868MHz-433MHz in time sharing, senza dover scegliere preventivamente la frequenza di lavoro, semplificando così la gestione delle attività di installazione/manutenzione."
72-73,S418,S418 24V,104301,,,,,,110°,Non compresa,,,,,,,350 mm (390 mm senza arresti),,,823 x 104 x 137 mm,,,1800 N,,,Uso continuo,,,,,IP54,"2,3 m (2,7 m con elettroserratura)",,,,,,Con spazzole 24V,,,,,6 Kg,,,,,,,,35 W,,,,,,Attacco posteriore ad avvitare e regolabile - attacco anteriore ad avvitare e regolabile,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,,,,,,,,,,,,,37 mm/s (con E124),
74-75,412,412 dx,104470,,,,,,110°,Non compresa,,,,,,,290 mm,,,991 x 101 x 172 mm,,,3500 N (*),,,18 cicli/ora,,,,,IP44,"1,8 m",,,,,,Asincrono monofase,,,,,"6,5 Kg",,,,,,,,280 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,,,,,,,,16 mm/s (*),
74-75,412,412 sx,104471,,,,,,110°,La versione per ante destra (DX e SX) si determina con vista dall'interno della proprietà.,,,,,,,290 mm,,,991 x 101 x 172 mm,,,3500 N (*),,,18 cicli/ora,,,,,IP44,"1,8 m",,,,,,Asincrono monofase,,,,,"6,5 Kg",,,,,,,,280 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,,,,,,,,16 mm/s (*),
76-77,413 230V,413 230V,104413,,,,,,110°,Non compresa,,,,,,,,,,777 x 101 x 152 mm,,,2000 N (*),,,S3 - 30%,,,,,IP54,"1,8 m (2,5 con elettroserratura)",,,,,,Asincrono monofase,,,,,"7,8 Kg",,,,,,,,250 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,,,,,,,,16 mm/s (*),
78-79,415 230V,415,104415,,,,,,110°,Non compresa,,,,,,,300 mm,,,836 x 101 x 147 mm,,,3000 N (*),,,S3 - 30%,,,,,IP54,"2,5 m (3 m con elettroserratura)",,,,,,Asincrono monofase,,,,,"7,8 Kg",,,,,,,,300 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,,,,,,,,16 mm/s (*),
78-79,415 230V,415 L,104417,,,,,,110°,Non compresa,,,,,,,400 mm,,,942 x 101 x 148 mm,,,3000 N (*),,,S3 - 30%,,,,,IP54,3 m (4 m con elettroserratura),,,,,,Asincrono monofase,,,,,8 Kg,,,,,,,,300 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,,,,,,,,16 mm/s (*),
80-81,415 24V,415 24V,1044151,,,,,,110°,Non compresa,,,,,,,300 mm,,,836 x 101 x 147 mm,,,2800 N,,,Uso continuo,,,,,IP54,"2,5 m (3 con elettroserratura)",,,,,,Con spazzole 24V,,,,,"7,8 Kg",,,,,,,,70 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,,,,,,,,,,,16 mm/s,
80-81,415 24V,415 L 24V,1044171,,,,,,110°,Non è compatibile con la scheda E124S.,,,,,,,400 mm,,,942 x 101 x 148 mm,,,2800 N,,,Uso continuo,,,,,IP54,3 m (4 con elettroserratura),,,,,,Con spazzole 24V,,,,,8 Kg,,,,,,,,70 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,,,,,,,,,,,16 mm/s,
82-83,390 230V,390 230V,104570,,,,,,120°,Non compresa,,,,,,250 Nm (*),,,,412 x 133 x 134 mm,,,,,,S3 - 30%,,,,,IP44,"1,8 m (3 m con elettroserratura)",,,,,,Asincrono monofase,,,,,"11,5 Kg",,,,,,,,280 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,8 °/s (*),,,,,,,,
84-85,392 C,392 C,104583,,,,,,120°,E034 incorporata,,,,,,300 Nm (*),,,,183 x 256 x 304 mm,,,,,,Utilizzo continuo,,,,,IP44,"2,5 m con elettroserratura",,,,,,Con spazzole 24V,,,,,"11,7 Kg",Vedere grafico A,,,,,,,,,,,,,,-20 °C ÷ +65 °C,,,,,,220-240V~ 50/60 Hz,,,,,,,"8,5 °/s (*)",,,,,,,,
84-85,392 C,392,104584,,,,,,120°,-,,,,,,300 Nm (*),,,,183 x 256 x 304 mm,,,,,,Utilizzo continuo,,,,,IP44,"2,5 m con elettroserratura",,,,,,Con spazzole 24V,,,,,9 Kg,Vedere grafico A,,,,,,,,,,,,,,-20 °C ÷ +65 °C,,,,,,-,,,,,,,"8,5 °/s (*)",,,,,,,,
86-87,402,402 CBC,104468,,,,,,110°,Non compresa,,,,,,,250 mm,,,959 x 85 x 85 mm,,,5000 N (*),,,55 cicli/ora,,,,,IP55,"1,80 m",,,,,,Asincrono monofase,,,,,"6,5 Kg",,,,,,,1 lpm (*),220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,13 mm/s (*),
86-87,402,402 SBS,104474,,,,,,110°,Per gli attuatori senza blocco occorre installare un’elettroserratura.,,,,,,,250 mm,,,959 x 85 x 85 mm,,,6900 N (*),,,55 cicli/ora,,,,,IP55,3 m (con elettroserratura),,,,,,Asincrono monofase,,,,,"6,5 Kg",,,,,,,"0,75 lpm (*)",220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,10 mm/s (*),
88-89,422,422 CBAC,104200,,,,,,110°,Non compresa,,,,,,,250 mm,,,987 x 85 x 119 mm,,,5000 N (*),,,55 cicli/ora,,,,,IP55,"1,8 m",,,,,,Asincrono monofase,,,,,7 Kg,,,,,,,1 lpm (*),220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,13 mm/s (*),
88-89,422,422 SBS,104210,,,,,,110°,Schemi di installazione tipo a pag.,,,,,,,250 mm,,,987 x 85 x 119 mm,,,6900 N (*),,,55 cicli/ora,,,,,IP55,3 m (con elettroserratura),,,,,,Asincrono monofase,,,,,7 Kg,,,,,,,"0,75 lpm (*)",220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,10 mm/s (*),
90-91,400,400 CBC,104205,,,,,,125°,Non compresa,,,,,,,270 mm,,,1034 x 85 x 119 mm,,,6200 N (*),,,70 cicli/ora,,,,,IP55,"2,20 m",,,,,,Asincrono monofase,,,,,"8,6 Kg",,,,,,,1 lpm (*),220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,10 mm/s (*),
90-91,400,400 SB,104206,,,,,,125°,Schemi di installazione tipo a pag.,,,,,,,390 mm,,,1277 x 85 x 119 mm,,,7750 N (*),,,60 cicli/ora,,,,,IP55,"4,00 m (con elettroserratura)",,,,,,Asincrono monofase,,,,,10 Kg,,,,,,,"0,75 lpm (*)",220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,"7,5 mm/s (*)",
90-91,400,400 SBS,104203,,,,,,125°,268,,,,,,,390 mm,,,1277 x 85 x 119 mm,,,6200 N (*),,,70 cicli/ora,,,,,IP55,"7,00 m (con elettroserratura)",,,,,,Asincrono monofase,,,,,10 Kg,,,,,,,1 lpm (*),220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,10 mm/s (*),
90-91,400,400 CBAC,104201,,,,,,125°,268,,,,,,,390 mm,,,1277 x 85 x 119 mm,,,4650 N (*),,,50 cicli/ora,,,,,IP55,"2,20 m",,,,,,Asincrono monofase,,,,,10 Kg,,,,,,,"1,5 lpm (*)",220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,15 mm/s (*),
