Page,Product,Modello,Codice_SKU,Prezzo
072-073,S418,S418 24V,104301,"505,00"
074-075,412,412 dx,104470,"463,00"
074-075,412,412 sx,104471,"463,00"
076-077,413 230V,413 230V,104413,"594,00"
078-079,415 230V,415,104415,"567,00"
078-079,415 230V,415 L,104417,"621,00"
080-081,415 24V,415 24V,1044151,"655,00"
080-081,415 24V,415 L 24V,1044171,"707,00"
082-083,390 230V,390 230V,104570,"667,00"
084-085,392 C,392 C,104583,"855,00"
084-085,392 C,392,104584,"574,00"
086-087,402,402 CBC,104468,"722,00"
086-087,402,402 SBS,104474,"713,00"
088-089,422,422 CBAC,104200,"1.006,00"
088-089,422,422 SBS,104210,"929,00"
090-091,400,400 CBC,104205,"1.250,00"
090-091,400,400 SB,104206,"1.211,00"
090-091,400,400 SBS,104203,"1.233,00"
090-091,400,400 CBAC,104201,"1.299,00"
090-091,400,400 CBAC L,104202,"1.474,00"
090-091,400,400 SBS L,104220,"1.616,00"
092-094,S450H,S450H CBAC,104100,"917,00"
092-094,S450H,S450H SB,104101,"879,00"
096-097,S2500I,S2500I 24V,104250,"1.121,00"
098-099,770N 230V,770N 230V,10675201,"820,00"
100-101,770N 24V,770N 24V,10675301,"820,00"
102-103,S800H ENC,S800H ENC CBAC 100°,108720,"1.407,00"
102-103,S800H ENC,S800H ENC SBW 100°,108724,"1.407,00"
102-103,S800H ENC,S800H ENC CBAC 180°,108722,"1.547,00"
102-103,S800H ENC,S800H ENC SBW 180°,108725,"1.547,00"
104-106,S800 ENC,S800 ENC CBAC 100°,108800,"1.402,00"
104-106,S800 ENC,S800 ENC SBW 100°,108802,"1.402,00"
104-106,S800 ENC,S800 ENC CBAC 180°,108801,"1.547,00"
104-106,S800 ENC,S800 ENC SBW 180°,108803,"1.547,00"
108-109,C4000I,C4000I,109001,"1.012,00"
110-111,C720,C720 24V,109320,"750,00"
112-113,C721,C721 24V,109321,"1.040,00"
114-115,740,740 E Z16 con encoder,1097805,"750,00"
116-117,740 C,740 C con encoder,109600,"825,00"
118-119,741,741 E Z16 con encoder,1097815,"1.010,00"
120-121,741 C,741 C con encoder,109602,"1.110,00"
122-123,746 C,746 C Z16,109745,"1.208,00"
122-123,746 C,746 C Z20,109746,"1.208,00"
124-125,844 C,844 C Z16,109925,"1.691,00"
124-125,844 C,844,109926,"1.158,00"
126-127,844 3PH,844 C 3PH,109928,"2.014,00"
126-127,844 3PH,844 R 3PH,109904,"1.310,00"
128-129,884 MC 3PH,884 MC 3PH,109885,"4.300,00"
130-132,C851,C851,109903,"4.942,00"
134-135,D600,D600,110600,"477,00"
136-137,D700 HS,D700 HS,110602,"494,00"
138-139,D1000,D1000,110601,"580,00"
148-149,550,550 ITT,110549,D550 ITT
148-149,550,550 Slave,110553,D550 Slave S/L
148-149,550,550 L ITT,110562,D550 L ITT
148-149,550,550 L Slave,110558,D550 L Slave
150-152,580 - 593,593,110597,"898,00"
150-152,580 - 593,580 CBAC,104501,"1.181,00"
150-152,580 - 593,580 SB,104502,"1.154,00"
154-155,390 230V,390 230V,104570,"667,00"
156-157,560,560 CBAC,104561,"1.527,00"
156-157,560,560 SB,104562,"1.465,00"
160-163,B614,2.315,428088,"152,00"
160-163,B614,2.815,428089,"173,00"
160-163,B614,3.815,428090,"188,00"
160-163,B614,4.815,428091,"207,00"
160-163,B614,2.000 *,428046,"134,00"
160-163,B614,2.300,428045,"155,00"
160-163,B614,3.300,428042,"185,00"
160-163,B614,4.300 *,428043,"230,00"
160-163,B614,5.000,428002,"268,00"
160-163,B614,Giunto *,428615,"55,00"
160-163,B614,B614 Rosso RAL 3020,104614,"1.556,00"
160-163,B614,B614 Grigio RAL 9006,1046143,"1.556,00"
164-167,615BPR,2.315,428088,"152,00"
164-167,615BPR,2.815,428089,"173,00"
164-167,615BPR,3.815,428090,"188,00"
164-167,615BPR,4.815,428091,"207,00"
164-167,615BPR,2.000 *,428046,"134,00"
164-167,615BPR,2.300,428045,"155,00"
164-167,615BPR,3.300,428042,"185,00"
164-167,615BPR,4.300 *,428043,"230,00"
164-167,615BPR,5.000,428002,"268,00"
164-167,615BPR,Giunto *,428615,"55,00"
164-167,615BPR,615BPR Standard Arancio RAL 2004,104906,"1.279,00"
164-167,615BPR,615BPR Standard Grigio RAL 9006,104910,"1.279,00"
168-171,620 Standard,2.000 *,428046,"134,00"
168-171,620 Standard,2.300,428045,"155,00"
168-171,620 Standard,3.300,428042,"185,00"
168-171,620 Standard,4.300 *,428043,"230,00"
168-171,620 Standard,5.000,428002,"268,00"
168-171,620 Standard,Giunto *,428615,"55,00"
168-171,620 Standard,2.315,428088,"152,00"
168-171,620 Standard,2.815,428089,"173,00"
168-171,620 Standard,3.815,428090,"188,00"
168-171,620 Standard,4.815,428091,"207,00"
168-171,620 Standard,3.000,428176,"346,00"
172-175,620 Rapida,2.315,428088,"152,00"
172-175,620 Rapida,2.815,428089,"173,00"
172-175,620 Rapida,3.815,428090,"188,00"
172-175,620 Rapida,3.000,428176,"346,00"
172-175,620 Rapida,2.300,428045,"155,00"
172-175,620 Rapida,3.300,428042,"185,00"
176-179,B680H,"Asta Intera S 2,3 m",428045,"155,00"
176-179,B680H,"Asta Intera S 3,3 m",428042,"185,00"
176-179,B680H,"Asta Intera S 4,3 m",428043,"230,00"
176-179,B680H,"Asta Intera S 5,3 m",428044,"274,00"
176-179,B680H,Giunto S,428615,"55,00"
176-179,B680H,"Asta Iniziale S 2,3 m",428045,"155,00"
176-179,B680H,"Asta Iniziale S 3,3 m",428042,"185,00"
176-179,B680H,Asta Finale S 2 m,428046,"134,00"
176-179,B680H,"Asta Intera L 5,3 m",428047,"364,00"
176-179,B680H,Giunto L,428616,"72,00"
176-179,B680H,Asta Iniziale L 4 m,428048,"318,00"
176-179,B680H,"Asta Finale L 2,3 m",428049,"215,00"
176-179,B680H,"Asta Finale L 3,3 m",428050,"274,00"
176-179,B680H,"Asta Finale L 4,3 m",428051,"322,00"
176-179,B680H,B680H,104680,"2.176,00"
176-179,B680H,3.000,428176,"346,00"
187,Contenitori,Contenitore mod. L per schede elettroniche,720118,"55,00"
187,Contenitori,Contenitore mod. E per schede elettroniche,720119,"35,00"
187,Contenitori,Contenitore mod. LM per schede elettroniche,720309,"83,00"
238,Accessori e materiali di consumo,Elettroserratura 12V~ completa di controbocchetta a pavimento,712650,"124,00"
238,Accessori e materiali di consumo,Controbocchetta a pilastro (cancelli ad un&apos;anta),712990,"16,50"
238,Accessori e materiali di consumo,BLOCKIT,401026,"61,00"
240-241,RL200,RL200 REVERSIBILE,109950,"235,00"
