Page,Product,Spec_Label,Model,Issue,Resolution
090-091,400,Forza max di spinta,400 SB,"Ambiguous blank: prev=""6200 N (*)"", next=""7750 N (*)""","Filled with ""6200 N (*)"" (from left)"
090-091,400,Velocità max stelo,400 SB,"Ambiguous blank: prev=""10 mm/s (*)"", next=""7,5 mm/s (*)""","Filled with ""10 mm/s (*)"" (from left)"
090-091,400,Portata gruppo motore-pompa,400 SB,"Ambiguous blank: prev=""1 lpm (*)"", next=""0,75 lpm (*)""","Filled with ""1 lpm (*)"" (from left)"
090-091,400,Frequenza di utilizzo,400 SB,"Ambiguous blank: prev=""70 cicli/ora"", next=""60 cicli/ora""","Filled with ""70 cicli/ora"" (from left)"
090-091,400,Larghezza max anta,400 CBAC L,"Ambiguous blank: prev=""2,20 m"", next=""7,00 m (con elettroserratura)""","Filled with ""2,20 m"" (from left)"
102-103,S800H ENC,Peso,S800H ENC SBW 100°,"Ambiguous blank: prev=""14 Kg"", next=""15 Kg""","Filled with ""14 Kg"" (from left)"
102-103,S800H ENC,Dimensioni (LxPxH),S800H ENC SBW 100°,"Ambiguous blank: prev=""Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm"", next=""Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm""","Filled with ""Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm"" (from left)"
104-106,S800 ENC,Peso,S800 ENC SBW 100°,"Ambiguous blank: prev=""16 Kg"", next=""16,5 Kg""","Filled with ""16 Kg"" (from left)"
104-106,S800 ENC,Frequenza di utilizzo,S800 ENC SBW 100°,"Ambiguous blank: prev=""45 cicli/ora"", next=""30 cicli/ora""","Filled with ""45 cicli/ora"" (from left)"
104-106,S800 ENC,Dimensioni (LxPxH),S800 ENC SBW 100°,"Ambiguous blank: prev=""Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm"", next=""Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm""","Filled with ""Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm"" (from left)"
148-149,550,Potenza max,550 Slave,"Ambiguous blank: prev=""350 W"", next=""280 W""","Filled with ""350 W"" (from left)"
148-149,550,Coppia max,550 Slave,"Ambiguous blank: prev=""300 Nm (*)"", next=""250 Nm (*)""","Filled with ""300 Nm (*)"" (from left)"
148-149,550,Velocità angolare max,550 Slave,"Ambiguous blank: prev=""12 °/s (*)"", next=""8 °/s (*)""","Filled with ""12 °/s (*)"" (from left)"
148-149,550,Tempo di apertura,550 Slave,"Ambiguous blank: prev=""15 s"", next=""22 s""","Filled with ""15 s"" (from left)"
188-194,Schede elettroniche,scheda elettronica,Barriere,"Ambiguous blank: prev=""624BLD"", next=""200MPS""","Filled with ""624BLD"" (from left)"
188-194,Schede elettroniche,Motore Elettrico,Barriere,"Ambiguous blank: prev=""230V~"", next=""230V""","Filled with ""230V~"" (from left)"
188-194,Schede elettroniche,Codice,Barriere,"Ambiguous blank: prev=""2022715"", next=""790905""","Filled with ""2022715"" (from left)"
188-194,Schede elettroniche,PREZZO,Barriere,"Ambiguous blank: prev=""543,00 €"", next=""110,00 €""","Filled with ""543,00 €"" (from left)"
062-063,TM2K KIT MINI,Velocità max,TM2K 30/17,"Ambiguous blank: prev=""17 giri/min"", next=""12 giri/min""","Filled with ""17 giri/min"" (from left)"
