Product,Page,Spec_Field,nome_modello1,codice_sku1,value1,nome_modello2,codice_sku2,value2,nome_modello3,codice_sku3,value3,nome_modello4,codice_sku4,value4,nome_modello5,codice_sku5,value5,nome_modello6,codice_sku6,value6,nome_modello7,codice_sku7,value7,nome_modello8,codice_sku8,value8,nome_modello9,codice_sku9,value9,nome_modello10,codice_sku10,value10,nome_modello11,codice_sku11,value11,nome_modello12,codice_sku12,value12,nome_modello13,codice_sku13,value13,nome_modello14,codice_sku14,value14,nome_modello15,codice_sku15,value15,nome_modello16,codice_sku16,value16,nome_modello17,codice_sku17,value17
S418,072-073,1,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,2,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,620 Rapida,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,620 Standard,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,620 Standard ARTICOLATA,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Altezza max serranda,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Altezza min architrave,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Angolo max apertura anta,S418 24V,104301,110°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Apparecchiatura elettronica,S418 24V,104301,Non compresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Arresti meccanici integrati in apertura e chiusura,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Capacità di sollevamento,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Condensatore di spunto,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Coppia max,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Corsa dello stelo,S418 24V,104301,350 mm (390 mm senza arresti),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Diametro albero serranda,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Diametro scatole portamolle,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Dimensione del pilastro a sezione quadrata,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Dimensione max porta (LxH),S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Dimensioni (LxPxH),S418 24V,104301,823 x 104 x 137 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Dimensioni colonna,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Dispositivo di sblocco,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Encoder,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
