codice_sku,quantita,immagine_sku,ordine_tipo_componente,tipo_componente,nome_modello,modelli_correlati,descrizione_breve,tensione_alimentazione,corrente_assorbita,tipo_motore,potenza_massima,coppia_massima,materiale,trattamento_superficiale,forza_spinta,rapporto_riduzione,numero_max_schede_collegabili,velocita_angolare,velocita_anta,lunghezza_anta_max,lunghezza_asta_max,spazio_fermata,controllo_motore,tipo_finecorsa,pignone,regolazione_forza,peso_anta_max,angolo_apertura_max,temperatura_esercizio,termoprotezione,grado_protezione_ip,peso_unita,frequenza_utilizzo,larghezza_anta_max,dimensioni,scheda_elettronica,arresti_meccanici,tempo_utilizzo_continuo,tempo_apertura,encoder,tipo_rallentamento,tipo_asta,dimensione_pilastro,dispositivo_sblocco,condensatore_spunto,lunghezza_mm,unita_misura_prezzo,icona_badge,decodifica_radio,memoria_codici_radio,collegamento,note_tecniche,corsa_stelo,dimensioni_colonna,peso_anta_cantilever,portata_pompa,staffe_fissaggio,tipo_olio,tipo_utilizzo,velocita_stelo
102011,1,102011.tif,1,Apparecchiature Elettroniche,E034,,Apparecchiatura elettronica E034 con contenitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102845,,,,accessorio,,,Modulo estensione quadricanale Multidec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104100,1,104100.tif,,accessorio,S450H CBAC,,Attuatori oleodinamici S450H CBAC,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,> 5000 N,,,,,,,,,,,,,110°,-20°C ÷ +55°C,,IP55,"6,5 Kg",Uso continuo,2 m,1131 x 85 x 119 mm,Non compresa,,,,SAFEcoder integrato,,,,,,,,,,,,,311 mm,,,,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,FAAC HP OIL,,>25 mm/sec
104101,1,,,accessorio,S450H SB,,,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,> 5000 N,,,,,,,,,,,,,110°,-20°C ÷ +55°C,,IP55,"6,5 Kg",Uso continuo,3 m,1131 x 85 x 119 mm,Non compresa,,,,SAFEcoder integrato,,,,,,,,,,,,,311 mm,,,,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,FAAC HP OIL,,>25 mm/sec
104200,1,104203.tif,,accessorio,422 CBAC,,Attuatori 422 CBAC,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,5000 N (*),,,,,,,,,,,,,110°,-20°C ÷ + 55°C,120°C,IP55,7 Kg,55 cicli/ora,"1,8 m",987 x 85 x 119 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,250 mm,,,1 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,FAAC HP OIL,,13 mm/s (*)
104201,,,,accessorio,400 CBAC,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,6200 N (*),,,,,,,,,,,,,125°,-20°C ÷ + 55°C,120°C,IP55,8.6 Kg,70 cicli/ora,2.20 m,1034 x 85 x 119 mm,Non compresa,,,,,,,,,,,,,,,,,270 mm,,,1 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,FAAC HP OIL,,10 mm/s (*)
104202,,,,accessorio,400 CBAC L,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,4650 N (*),,,,,,,,,,,,,125°,-20°C ÷ + 55°C,120°C,IP55,10 Kg,50 cicli/ora,2.20 m,1277 x 85 x 119 mm,Non compresa,,,,,,,,,,,,,,,,,390 mm,,,1.5 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,FAAC HP OIL,,15 mm/s (*)
104203,,,,accessorio,400 SBS,,Attuatori 400 SBS,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,7750 N (*),,,,,,,,,,,,,125°,-20°C ÷ + 55°C,120°C,IP55,8.6 Kg,60 cicli/ora,7.00 m (con elettroserratura),1034 x 85 x 119 mm,Non compresa,,,,,,,,,,,,,,,,,270 mm,,,0.75 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,FAAC HP OIL,,7.5 mm/s (*)
104205,,,,accessorio,400 CBC,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,6200 N (*),,,,,,,,,,,,,125°,-20°C ÷ + 55°C,120°C,IP55,8.6 Kg,70 cicli/ora,2.20 m,1034 x 85 x 119 mm,Non compresa,,,,,,,,,,,,,,,,,270 mm,,,1 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,FAAC HP OIL,,10 mm/s (*)
104206,,,,accessorio,400 SB,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,6200 N (*),,,,,,,,,,,,,125°,-20°C ÷ + 55°C,120°C,IP55,8.6 Kg,70 cicli/ora,4.00 m (con elettroserratura),1034 x 85 x 119 mm,Non compresa,,,,,,,,,,,,,,,,,270 mm,,,1 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,FAAC HP OIL,,10 mm/s (*)
104210,1,,,accessorio,422 SBS,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,6900 N (*),,,,,,,,,,,,,110°,-20°C ÷ + 55°C,120°C,IP55,7 Kg,55 cicli/ora,3 m (con elettroserratura),987 x 85 x 119 mm,Non compresa,,,,,,,,,8μF 400V,,,,,,,(*) dati riferiti a 230V~ 50Hz.,250 mm,,,"0,75 lpm (*)",Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,FAAC HP OIL,,10 mm/s (*)
104220,,,,accessorio,400 SBS L,,,220-240V~ 50/60 Hz,,Asincrono monofase,220 W,,,,7750 N (*),,,,,,,,,,,,,125°,-20°C ÷ + 55°C,120°C,IP55,10 Kg,40 cicli/ora,7.00 m (con elettroserratura),1277 x 85 x 119 mm,Non compresa,,,,,,,,,,,,,,,,,390 mm,,,0.75 lpm (*),Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,FAAC HP OIL,,7.5 mm/s (*)
104250,1,,,accessorio,S2500I 24V,,Operatori integrati S2500I 24V,220-240V~ 50/60 Hz,,Con spazzole 24V,40W,320Nm,,,,,,10°/s,,,,,,,,,250 Kg,165°,-20°C ÷ + 55°C,,IP X4,"7,9 Kg (attuatore) - 3,3 Kg (cerniera) - 1,8 Kg (cover)",,"2 m (2,5m con elettroserratura)",340 x 160 x 150 mm,non compresa,opzionali,Continuo a 55°C,,Assoluto Magnetico BUS,,,"100x100, 120x120, 150x150 mm",,,,,,,,,,,,,,,,,
104250445,1,HIGH KIT 104250445 .tif,,Modello,KIT OPERATORE INTEGRATO S2500I,,KIT OPERATORE INTEGRATO S2500I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104301,1,104301.tif,,accessorio,S418 24V,,Attuatori elettromeccanici S418 24V con staffe di fissaggio,220-240V~ 50/60 Hz,,Con spazzole 24V,35 W,,,,1800 N,,,,,,,,,,,,,110°,-20°C ÷ + 55°C,,IP54,6 Kg,Uso continuo,"2,3 m (2,7 m con elettroserratura)",823 x 104 x 137 mm,Non compresa,,,,,,,,,,,,,,,,,350 mm (390 mm senza arresti),,,,Attacco posteriore ad avvitare e regolabile - attacco anteriore ad avvitare e regolabile,,,37 mm/s (con E124)
104413,1,104413.tif,,accessorio,413 230V,,Attuatore elettromeccanico 413,220-240V~ 50/60 Hz,,Asincrono monofase,250 W,,,,2000 N (*),,,,,,,,,,,,,110°,-20°C ÷ + 55°C,140°C,IP54,"7,8 Kg",S3 - 30%,"1,8 m (2,5 con elettroserratura)",777 x 101 x 152 mm,Non compresa,,,,,,,,,"6,3μF 400V",,,,,,,(*) dati riferiti a 230V~ 50Hz,300 mm (350 mm senza arresti meccanici),,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,16 mm/s (*)
