codice_sku,num_variants,variant_num,tipo_componente,nome_modello,descrizione_breve,tensione_alimentazione,potenza_massima
391456,6,1,Accessori,XK30,XK30 selettore a chiave con leva di sblocco,,
391456,6,2,accessorio,,XK30 Selettore a chiave con sblocco a leva,,
391456,6,3,accessorio,,Kit sblocco esterno  per S2500I,,
391456,6,4,Modello,XK30,,,
391456,6,5,accessorio,,,,
391456,6,6,accessorio,,XK30 Selettore a chiave con leva di sblocco,,
202073,5,1,Apparecchiature Elettroniche,,Scheda elettronica E844 3PH (incorporata nell'automatismo),,
202073,5,2,accessorio,,Contenitore mod. L per schede elettroniche,,
202073,5,3,accessorio,,Piastra di fondazione,,
202073,5,4,accessorio,,,,
202073,5,5,accessorio,,Scheda elettronica E844 3PH,,
787023,5,1,Modello,XR2N 433-868,Sistema 433-868MHz FDS,12 ÷ 24 V~ - 12 ÷ 24 V~,
787023,5,2,Modello,XR2N 433-868,Sistema 433-868MHz FDS BD,12 ÷ 24 V~ - 12 ÷ 24 V~,
787023,5,3,accessorio,,XR2N FDS 433-868 MHz,,
787023,5,4,Modello,XR2N 433-868,Trasmittente 2 canali,12 ÷ 24 V~ - 12 ÷ 24 V~,
787023,5,5,Modello,XR2N 433-868,Trasmittente 4 canali (quantità multipla vendibile 12 pz.),12 ÷ 24 V~ - 12 ÷ 24 V~,
787024,5,1,Modello,XR4N 433-868,Sistema 433-868MHz FDS,12 ÷ 24 V~ - 12 ÷ 24 V~,
787024,5,2,Modello,XR4N 433-868,Sistema 433-868MHz FDS BD,12 ÷ 24 V~ - 12 ÷ 24 V~,
787024,5,3,accessorio,,XR4N FDS 433-868 MHz,,
787024,5,4,Modello,XR4N 433-868,Trasmittente 2 canali,12 ÷ 24 V~ - 12 ÷ 24 V~,
787024,5,5,Modello,XR4N 433-868,Trasmittente 4 canali (quantità multipla vendibile 12 pz.),12 ÷ 24 V~ - 12 ÷ 24 V~,
790062,5,1,Accessori,,"Interfaccia BUS XIB (per scheda E045, E045S, E024S o E034 con fotocellula no BUS)",,
790062,5,2,accessorio,,"per scheda E045, E045S, E024S o E034 con fotocellula no BUS)",,
790062,5,3,accessorio,,per scheda E045 o E045S con fotocellula no BUS),,
790062,5,4,accessorio,,per scheda E045 o E045S o E024S con fotocellula no BUS),,
790062,5,5,accessorio,,,,
790077,5,1,Apparecchiature Elettroniche,E045S,Scheda elettronica E045S,,
790077,5,2,accessorio,,Per maggiori informazioni,,
790077,5,3,accessorio,,Info a pag.,,
790077,5,4,accessorio,,,,
790077,5,5,accessorio,,Scheda elettronica E045S,,
790305,5,1,Apparecchiature Elettroniche,E124S,Apparecchiatura elettronica E124S con contenitore,,
790305,5,2,accessorio,,Per maggiori informazioni,,
790305,5,3,accessorio,,Kit supporto batteria d’emergenza,,
790305,5,4,accessorio,,,,
790305,5,5,accessorio,,E124S Scheda elettronica,,
790905,5,1,Apparecchiature Elettroniche,200 MPS,Scheda elettronica 200 MPS,,
790905,5,2,accessorio,,,,
790905,5,3,accessorio,,Contenitore mod. E per schede elettroniche,,
790905,5,4,accessorio,,Info a pag.,,
790905,5,5,accessorio,,Scheda elettronica 200MPS,,
Model_2,5,1,Modello,Model_2,Attuatore elettromeccanico 24V a traino,220-240V~ 50/60 Hz,220 W
Model_2,5,2,Modello,Model_2,Barriera automatica 24V,220-240V ~ 50/60 Hz,165 W
Model_2,5,3,Modello,Model_2,Sistema 433-868MHz FDS,,
Model_2,5,4,Modello,Model_2,,,
Model_2,5,5,Modello,Model_2,Motoriduttore 230V,220-240V ~ 50/60Hz,
102011,4,1,Apparecchiature Elettroniche,E034,Apparecchiatura elettronica E034 con contenitore,,
102011,4,2,accessorio,,Per maggiori informazioni,,
102011,4,3,accessorio,,,,
102011,4,4,accessorio,,Apparecchiatura elettronica E034,,
109925,4,1,Modello,844 C Z16,,220-240V~ 50/60 Hz,230 W
109925,4,2,Modello,844 C Z16,Motoriduttore 230V,220-240V~ 50/60 Hz,230 W
109925,4,3,accessorio,,,,
109925,4,4,accessorio,,Motoriduttore 844 C R Z16,,
390130,4,1,Accessori,,Kit basso consumo XLC (Compatibile con E034),,
390130,4,2,accessorio,,Compatibile con E034),,
390130,4,3,accessorio,,Kit basso consumo XLC,,
390130,4,4,accessorio,,,,
390992,4,1,Accessori,,Kit collegamento luci asta,,
390992,4,2,accessorio,,Kit collegamento luci asta,,
390992,4,3,accessorio,,Kit collegamento luci asta tonda S/L,,
390992,4,4,accessorio,,,,
390993,4,1,Accessori,,Cordone luminoso confez. da 12 m,,
390993,4,2,accessorio,,Cordone luminoso confez. da 12 m,,
390993,4,3,accessorio,,Cordone luminoso confez. da 11 m,,
390993,4,4,accessorio,,,,
428042,4,1,Accessori,,Asta tonda S - Ø 75 mm (adesivi non compresi),,
428042,4,2,accessorio,,,,
428042,4,3,accessorio,,le aste tonde S dispongono di un profilo di gomma antiurto; per una ragione di bi,,
