page_start;page_end;product;folder;CE;Safe;Green;Omnidec;2Easy;Hybrid;Classe_II;Wireless;all_badges;badge_files;qr_code;qr_codes_all;badge_texts_styled
028;028;LEADER kit PERFECT 60;028_LEADER_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"SAFEzone composto da:  LEADER kit230V + 2SAFEcoder (da acquistare separatamente);Codice;Coppia di fotocellule XP20B D;Ricevente XF FDS 433-868;Codice articolo"
029;029;MASTER kit 230V PERFECT 60;029_MASTER_kit_230V_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"SAFEzone composto da:  LEADER kit230V + 2SAFEcoder (da acquistare separatamente);Codice;Coppia di fotocellule XP20B D;Ricevente XF FDS 433-868;Codice articolo"
030;030;MASTER kit 24V PERFECT 60;030_MASTER_kit_24V_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D;Codice articolo"
031;031;HANDY kit PERFECT 60;031_HANDY_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D;Codice articolo"
032;032;ECO kit PERFECT 60;032_ECO_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_greentech_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"SAFE ZONE composto da:  ECO kit 230V + 2SAFEcoder (da acquistare separatamente);Codice articolo;Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D"
033;033;HIGH kit PERFECT 60;033_HIGH_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_greentech_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"SAFE ZONE composto da:  ECO kit 230V + 2SAFEcoder (da acquistare separatamente);Codice articolo;Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D"
034;034;POWER kit 230V PERFECT 60;034_POWER_kit_230V_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D;SAFEzone composto da: POWER kit230V + 2SAFEcoder (da acquistare separatamente);Codice articolo"
035;035;POWER kit 24V PERFECT 60;035_POWER_kit_24V_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D;SAFEzone composto da: POWER kit230V + 2SAFEcoder (da acquistare separatamente);Codice articolo"
036;036;PRATICO C kit PERFECT 60;036_PRATICO_C_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;;;;;;"CE;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai";;;"Codice articolo;Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D;Coppia di fotocellule XP20 D"
037;037;DELTA 2 kit PERFECT 60;037_DELTA_2_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;;;;;;;"CE;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai";;;"Codice articolo;Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D;Coppia di fotocellule XP20 D"
038;038;DELTA 3 kit PERFECT 60;038_DELTA_3_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_greentech_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"Codice articolo;Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D;Ricevente RP FDS 433-868"
039;040;RAPID kit PERFECT 60;039-040_RAPID_kit_PERFECT_60;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Omnidec;Safe";"logo_CE_bw_1.ai;logo_safezone_cmyk_1.ai;logo_greentech_cmyk_1.ai;logo_Omnidec_bw_2.ai;logo_2easy_bw_1.ai";;;"Codice articolo;Fotocellule orientabili XP20;Codice;Ricevente XF FDS 433-868;Coppia di fotocellule XP20B D"
