Modello;Codice_articolo;page_start;page_end
LEADER kit PERFECT 60;120013;028;028
MASTER kit 230V PERFECT 60;120015;028;028
SAFEcoder encoder assoluto magnetico BUS (brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;028;028
LEADER kit PERFECT 60;120013;029;029
MASTER kit 230V PERFECT 60;120015;029;029
SAFEcoder encoder assoluto magnetico BUS (brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;029;029
HANDY kit PERFECT 60;120019;030;030
MASTER kit 24V PERFECT 60;120016;030;030
HANDY kit PERFECT 60;120019;031;031
MASTER kit 24V PERFECT 60;120016;031;031
ECO kit PERFECT 60;120014;032;032
HIGH kit PERFECT 60;120020;032;032
SAFEcoder per attuatore 412 (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404041;032;032
ECO kit PERFECT 60;120014;033;033
HIGH kit PERFECT 60;120020;033;033
SAFEcoder per attuatore 412 (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404041;033;033
Cassetta portante con sistema di sblocco;490065;034;034
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;034;034
POWER 230V kit PERFECT 60;120017;034;034
POWER 24V kit PERFECT 60;120018;034;034
Cassetta portante con sistema di sblocco;490065;035;035
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;035;035
POWER 230V kit PERFECT 60;120017;035;035
POWER 24V kit PERFECT 60;120018;035;035
DELTA 2 kit PERFECT 60;120009;036;036
PRATICO C kit PERFECT 60;120011;036;036
DELTA 2 kit PERFECT 60;120009;037;037
PRATICO C kit PERFECT 60;120011;037;037
DELTA 3 kit PERFECT 60;120010;038;038
RAPID kit PERFECT 60;120012;038;038
DELTA 3 kit PERFECT 60;120010;039;040
RAPID kit PERFECT 60;120012;039;040
HYBRID kit 24V SAFE;105683;042;042
SAFE&GREEN Retrofit kit E145S;390113;042;042
HYBRID kit 24V SAFE;105683;043;043
SAFE&GREEN Retrofit kit E145S;390113;043;043
Leader kit 230V;105633445;044;044
SAFEcoder encoder assoluto magnetico BUS ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404040;044;044
Trendy kit 230V;104419445;044;044
Leader kit 230V;105633445;045;045
SAFEcoder encoder assoluto magnetico BUS ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404040;045;045
Trendy kit 230V;104419445;045;045
MASTER kit 230V;104415445;046;046
MASTER kit 24V SAFE;104415144;046;046
SAFEcoder encoder assoluto magnetico BUS (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;046;046
MASTER kit 230V;104415445;047;047
MASTER kit 24V SAFE;104415144;047;047
SAFEcoder encoder assoluto magnetico BUS (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante);404040;047;047
ECO kit 230V;105632445;048;048
HANDY kit 24V SAFE;105998;048;048
SAFEcoder per attuatore 412 ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404041;048;048
ECO kit 230V;105632445;049;049
HANDY kit 24V SAFE;105998;049;049
SAFEcoder per attuatore 412 ( Brevetto FAAC ) (confezione singola - 2 confezioni per 2 ante);404041;049;049
COVER S2500I NEUTRO;416251;050;050
COVER S2500I RAL 7021;416250;050;050
ENERGY kit 24V SAFE;104575;050;050
GRUPPO CERNIERA S2500I;490250;050;050
KIT OPERATORE INTEGRATO S2500I;104250445;050;050
COVER S2500I NEUTRO;416251;051;051
COVER S2500I RAL 7021;416250;051;051
ENERGY kit 24V SAFE;104575;051;051
GRUPPO CERNIERA S2500I;490250;051;051
KIT OPERATORE INTEGRATO S2500I;104250445;051;051
Cassetta portante con sistema di sblocco;490065;052;052
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;052;052
POWER kit 230V;106746445;052;052
POWER kit 24V SAFE;106747445;052;052
Cassetta portante con sistema di sblocco;490065;053;053
Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante);404035;053;053
POWER kit 230V;106746445;053;053
POWER kit 24V SAFE;106747445;053;053
DELTA 2 kit 230V SAFE;1056303445;054;054
PRATICO C kit 230V SAFE;105940;054;054
DELTA 2 kit 230V SAFE;1056303445;055;055
PRATICO C kit 230V SAFE;105940;055;055
DELTA 3 kit 230V SAFE;105630445;056;056
RAPID kit 24V SAFE&GREEN;1059995;056;056
RAPID kit 800 Kg - 24V SAFE&GREEN;105083;056;056
DELTA 3 kit 230V SAFE;105630445;057;057
RAPID kit 24V SAFE&GREEN;1059995;057;057
RAPID kit 800 Kg - 24V SAFE&GREEN;105083;057;057
DOLPHIN D600 kit 24V SAFE;10566544;058;058
SOLID kit 230V SAFE;10561644;058;058
DOLPHIN D600 kit 24V SAFE;10566544;059;059
SOLID kit 230V SAFE;10561644;059;059
ROTOR KIT;109940;060;061
TM2K KIT MINI 25/17;143201;062;063
TM2K KIT MINI 30/17;143202;062;063
TM2K KIT MINI 50/12;143203;062;063
S418 24V;104301;072;073
412 dx;104470;074;075
412 sx;104471;074;075
413 230V;104413;076;077
415;104415;078;079
415 L;104417;078;079
415 24V;1044151;080;081
415 L 24V;1044171;080;081
390 230V;104570;082;083
392;104584;084;085
392 C;104583;084;085
402 CBC;104468;086;087
402 SBS;104474;086;087
422 CBAC;104200;088;089
422 SBS;104210;088;089
400 CBAC;104201;090;091
400 CBAC L;104202;090;091
400 CBC;104205;090;091
400 SB;104206;090;091
400 SBS;104203;090;091
400 SBS L;104220;090;091
S450H CBAC;104100;092;094
S450H SB;104101;092;094
S2500I 24V;104250;096;097
770N 230V;10675201;098;099
770N 24V;10675301;100;101
S800H ENC CBAC 100°;108720;102;103
S800H ENC CBAC 180°;108722;102;103
S800H ENC SBW 100°;108724;102;103
S800H ENC SBW 180°;108725;102;103
S800 ENC CBAC 100°;108800;104;106
S800 ENC CBAC 180°;108801;104;106
S800 ENC SBW 100°;108802;104;106
S800 ENC SBW 180°;108803;104;106
C4000I;109001;108;109
C720 24V;109320;110;111
C721 24V;109321;112;113
740 E Z16 con encoder;1097805;114;115
740 C con encoder;109600;116;117
741 E Z16 con encoder;1097815;118;119
741 C con encoder;109602;120;121
746 C Z16;109745;122;123
746 C Z20;109746;122;123
844;109926;124;125
844 C Z16;109925;124;125
844 C 3PH;109928;126;127
844 R 3PH;109904;126;127
884 MC 3PH;109885;128;129
C851;109903;130;132
D600;110600;134;135
Due pezzi a cinghia;390226;134;135
Due pezzi a cinghia;390232;134;135
Due pezzi a cinghia;390239;134;135
Unico a cinghia;390120;134;135
Unico a cinghia;390126;134;135
Unico a cinghia;390132;134;135
Unico a cinghia;390139;134;135
D700 HS;110602;136;137
Due pezzi a cinghia;390226;136;137
Due pezzi a cinghia;390232;136;137
Due pezzi a cinghia;390239;136;137
Unico a cinghia;390120;136;137
Unico a cinghia;390126;136;137
Unico a cinghia;390132;136;137
Unico a cinghia;390139;136;137
D1000;110601;138;139
Due pezzi a cinghia;390226;138;139
Due pezzi a cinghia;390232;138;139
Due pezzi a cinghia;390239;138;139
Unico a cinghia;390120;138;139
Unico a cinghia;390126;138;139
Unico a cinghia;390132;138;139
Unico a cinghia;390139;138;139
550 ITT;110549;148;149
550 L ITT;110562;148;149
550 L Slave;110558;148;149
550 Slave;110553;148;149
580 CBAC;104501;150;152
580 SB;104502;150;152
593;110597;150;152
390 230V;104570;154;155
560 CBAC;104561;156;157
560 SB;104562;156;157
2.000 *;428046;160;163
2.300;428045;160;163
2.315;428088;160;163
2.815;428089;160;163
3.300;428042;160;163
3.815;428090;160;163
4.300 *;428043;160;163
4.815;428091;160;163
5.000;428002;160;163
B614 Grigio RAL 9006;1046143;160;163
B614 Rosso RAL 3020;104614;160;163
Giunto *;428615;160;163
2.000 *;428046;164;167
2.300;428045;164;167
2.315;428088;164;167
2.815;428089;164;167
3.300;428042;164;167
3.815;428090;164;167
4.300 *;428043;164;167
4.815;428091;164;167
5,5;721008;164;167
5.000;428002;164;167
6,0;721005;164;167
615BPR Standard Arancio RAL 2004;104906;164;167
615BPR Standard Grigio RAL 9006;104910;164;167
7,0;721006;164;167
7,5;721007;164;167
8,0;721018;164;167
Giunto *;428615;164;167
2.000 *;428046;168;171
2.300;428045;168;171
2.315;428088;168;171
2.815;428089;168;171
3.000;428176;168;171
3.300;428042;168;171
3.815;428090;168;171
4.300 *;428043;168;171
4.815;428091;168;171
5.000;428002;168;171
Giunto *;428615;168;171
2.300;428045;172;175
2.315;428088;172;175
2.815;428089;172;175
3.000;428176;172;175
3.300;428042;172;175
3.815;428090;172;175
3.000;428176;176;179
Asta Finale L 2,3 m;428049;176;179
Asta Finale L 3,3 m;428050;176;179
Asta Finale L 4,3 m;428051;176;179
Asta Finale S 2 m;428046;176;179
Asta Iniziale L 4 m;428048;176;179
Asta Iniziale S 2,3 m;428045;176;179
Asta Iniziale S 3,3 m;428042;176;179
Asta Intera L 5,3 m;428047;176;179
Asta Intera S 2,3 m;428045;176;179
Asta Intera S 3,3 m;428042;176;179
Asta Intera S 4,3 m;428043;176;179
Asta Intera S 5,3 m;428044;176;179
B680H;104680;176;179
Giunto L;428616;176;179
Giunto S;428615;176;179
Contenitore mod. E per schede elettroniche;720119;187;187
Contenitore mod. L per schede elettroniche;720118;187;187
Contenitore mod. LM per schede elettroniche;720309;187;187
XMBX4;787510;196;196
XMULTICOM;790418;196;196
