Product;QRcode Image Name;QRcode Text/URL;Page
ESG Report 2023;QR_ESG_REPORT2023.tif;(ESG Report link);9
Community FAAC per Te;QR_CommunityFAACperTe.png;(Community link);14
S2500I;S2500I_ITA.tif;vimeo.com/faacgroup/S2500I-it;96
746 C;QR-746c-844c_ITA.tif;(Product video);122
844 C;QR-746c-844c_ITA.tif;(Product video);124
B614;B614.tif;vimeo.com/faacgroup/b614it;160
B680H;B680H.tif;vimeo.com/faacgroup/b680h-it;176
ACCESS;QR_ACCESS_IT.tiff;(Access system link);180
Simply Connect;QR_SIMPLY_CONNECT.tiff;(Simply Connect link);199
Sistema 433-868MHz FDS;QR_FDS_ITA.tiff;vimeo.com/faacgroup/fds-it;200
Sistema 433-868MHz FDS BD;QR_FDS_ITA.tiff;vimeo.com/faacgroup/fds-it;202
Sistema 868MHz SLH LR;SLH_IT.tif;vimeo.com/faacgroup/slh-it;208
Sistema 433MHz SLH LR;SLH_IT.tif;vimeo.com/faacgroup/slh-it;210
Datori d'impulso elettronici (XTR B);XTR_B_IT.tif;vimeo.com/faacgroup/xtrb-it;222
FAAC Cloud;Visual_QR_DO_NOT_RESIZE_BELOW_25mm_1.tiff;(FAAC Cloud link);257
FAAC Cloud;Visual_QR_DO_NOT_RESIZE_BELOW_25mm_2.tiff;(FAAC Cloud link);257
KEYDOM;Visual_QR_KEYDOM.tif;(KEYDOM link);259
Portale Assistenza Tecnica Ricambi;QR_PORTALE_ASSISTENZA_TECNICA_RICAMBI.tiff;(Technical portal);286
